measurement,paper,condition,value
FRiP,Hansen_2017,WT,0.07
FRiP,Liu_2021,WT,0.13
FRiP,Liu_2021,WT,0.16
FRiP,Justice_2020,WT,0.11
FRiP,Justice_2020,WT,0.1
FRiP,Justice_2020,WT,0.074
FRiP,Justice_2020,WT,0.08
Isolation,Bonev_2017,WT,1.1159
Isolation,Liu_2020,WT,1.1388671986220822
Isolation,Liu_2020,Wapl_6h,1.1163322258421158
Isolation,Hsieh_2020,WT,1.0965
Dot,Bonev_2017,WT,1.054
Dot,Liu_2020,WT,1.0681
Dot,Liu_2020,Wapl_6h,1.188
