lifetime, velocity, clife, cof, fripscore
1500.0,0.33,10.0,15000.0,0.01069741
1500.0,1,10.0,15000.0,0.01179907
1500.0,3,10.0,15000.0,0.01376246
166.0,0.33,10.0,15000.0,0.00965231
166.0,1,10.0,15000.0,0.00948653
166.0,3,10.0,15000.0,0.0095711
500.0,0.33,10.0,15000.0,0.01003328
500.0,1,10.0,15000.0,0.00936825
500.0,3,10.0,15000.0,0.00943349
1500.0,0.33,10.0,3000.0,0.00908586
1500.0,1,10.0,3000.0,0.01054839
1500.0,3,10.0,3000.0,0.00783599
166.0,0.33,10.0,3000.0,0.00957463
166.0,1,10.0,3000.0,0.00999842
166.0,3,10.0,3000.0,0.0094765
500.0,0.33,10.0,3000.0,0.00965066
500.0,1,10.0,3000.0,0.00949272
500.0,3,10.0,3000.0,0.00672676
1500.0,0.33,10.0,5000.0,0.00883973
1500.0,1,10.0,5000.0,0.00968514
1500.0,3,10.0,5000.0,0.016416
166.0,0.33,10.0,5000.0,0.00956037
166.0,1,10.0,5000.0,0.00932337
166.0,3,10.0,5000.0,0.00929043
500.0,0.33,10.0,5000.0,0.00971294
500.0,1,10.0,5000.0,0.00913639
500.0,3,10.0,5000.0,0.00954683
1500.0,0.33,10.0,50000.0,0.01022503
1500.0,1,10.0,50000.0,0.00755676
1500.0,3,10.0,50000.0,0.00621667
166.0,0.33,10.0,50000.0,0.00941494
166.0,1,10.0,50000.0,0.00937358
166.0,3,10.0,50000.0,0.00989642
500.0,0.33,10.0,50000.0,0.00937551
500.0,1,10.0,50000.0,0.00985216
500.0,3,10.0,50000.0,0.00838649
1500.0,0.33,100.0,15000.0,0.01004531
1500.0,1,100.0,15000.0,0.00751906
1500.0,3,100.0,15000.0,0.00880739
166.0,0.33,100.0,15000.0,0.00970145
166.0,1,100.0,15000.0,0.00950046
166.0,3,100.0,15000.0,0.01017147
500.0,0.33,100.0,15000.0,0.01007316
500.0,1,100.0,15000.0,0.0101363
500.0,3,100.0,15000.0,0.00875179
1500.0,0.33,100.0,3000.0,0.01119485
1500.0,1,100.0,3000.0,0.00934598
1500.0,3,100.0,3000.0,0.00708424
166.0,0.33,100.0,3000.0,0.0095712
166.0,1,100.0,3000.0,0.009878
166.0,3,100.0,3000.0,0.008884
500.0,0.33,100.0,3000.0,0.00971743
500.0,1,100.0,3000.0,0.00943039
500.0,3,100.0,3000.0,0.00969215
1500.0,0.33,100.0,5000.0,0.00865646
1500.0,1,100.0,5000.0,0.0091514
1500.0,3,100.0,5000.0,0.0103646
166.0,0.33,100.0,5000.0,0.00949714
166.0,1,100.0,5000.0,0.00937071
166.0,3,100.0,5000.0,0.00921493
500.0,0.33,100.0,5000.0,0.00966086
500.0,1,100.0,5000.0,0.01041543
500.0,3,100.0,5000.0,0.01324008
1500.0,0.33,100.0,50000.0,0.01016219
1500.0,1,100.0,50000.0,0.0090742
1500.0,3,100.0,50000.0,0.00870814
166.0,0.33,100.0,50000.0,0.00966284
166.0,1,100.0,50000.0,0.00939343
166.0,3,100.0,50000.0,0.00866532
500.0,0.33,100.0,50000.0,0.0093367
500.0,1,100.0,50000.0,0.00931238
500.0,3,100.0,50000.0,0.0101036
1500.0,0.33,1000.0,15000.0,0.00942406
1500.0,1,1000.0,15000.0,0.00762817
1500.0,3,1000.0,15000.0,0.00423143
166.0,0.33,1000.0,15000.0,0.0095888
166.0,1,1000.0,15000.0,0.00977978
166.0,3,1000.0,15000.0,0.00976114
500.0,0.33,1000.0,15000.0,0.00962889
500.0,1,1000.0,15000.0,0.00974562
500.0,3,1000.0,15000.0,0.00876393
1500.0,0.33,1000.0,3000.0,0.0095764
1500.0,1,1000.0,3000.0,0.00851416
1500.0,3,1000.0,3000.0,0.01177965
166.0,0.33,1000.0,3000.0,0.00955152
166.0,1,1000.0,3000.0,0.01015091
166.0,3,1000.0,3000.0,0.00917592
500.0,0.33,1000.0,3000.0,0.00949981
500.0,1,1000.0,3000.0,0.00914266
500.0,3,1000.0,3000.0,0.01007609
1500.0,0.33,1000.0,5000.0,0.00939545
1500.0,1,1000.0,5000.0,0.00911367
1500.0,3,1000.0,5000.0,0.0062184
166.0,0.33,1000.0,5000.0,0.00947344
166.0,1,1000.0,5000.0,0.00958866
166.0,3,1000.0,5000.0,0.01103013
500.0,0.33,1000.0,5000.0,0.00962642
500.0,1,1000.0,5000.0,0.00942559
500.0,3,1000.0,5000.0,0.00865848
1500.0,0.33,1000.0,50000.0,0.00961028
1500.0,1,1000.0,50000.0,0.00936881
1500.0,3,1000.0,50000.0,0.00679957
166.0,0.33,1000.0,50000.0,0.00966028
166.0,1,1000.0,50000.0,0.00968627
166.0,3,1000.0,50000.0,0.00878947
500.0,0.33,1000.0,50000.0,0.00985192
500.0,1,1000.0,50000.0,0.01006182
500.0,3,1000.0,50000.0,0.01274116
1500.0,0.33,125.0,15000.0,0.00908755
1500.0,1,125.0,15000.0,0.00777933
1500.0,3,125.0,15000.0,0.02441592
166.0,0.33,125.0,15000.0,0.00959059
166.0,1,125.0,15000.0,0.00951825
166.0,3,125.0,15000.0,0.00894253
500.0,0.33,125.0,15000.0,0.00952069
500.0,1,125.0,15000.0,0.00917216
500.0,3,125.0,15000.0,0.01075171
1500.0,0.33,125.0,3000.0,0.01015312
1500.0,1,125.0,3000.0,0.00837785
1500.0,3,125.0,3000.0,0.01139962
166.0,0.33,125.0,3000.0,0.00975544
166.0,1,125.0,3000.0,0.00968494
166.0,3,125.0,3000.0,0.00989281
500.0,0.33,125.0,3000.0,0.00949212
500.0,1,125.0,3000.0,0.00980399
500.0,3,125.0,3000.0,0.00884061
1500.0,0.33,125.0,5000.0,0.01047691
1500.0,1,125.0,5000.0,0.00937227
1500.0,3,125.0,5000.0,0.00618959
166.0,0.33,125.0,5000.0,0.0096748
166.0,1,125.0,5000.0,0.0091888
166.0,3,125.0,5000.0,0.00958269
500.0,0.33,125.0,5000.0,0.00980911
500.0,1,125.0,5000.0,0.00962182
500.0,3,125.0,5000.0,0.00853891
1500.0,0.33,125.0,50000.0,0.01014177
1500.0,1,125.0,50000.0,0.0088442
1500.0,3,125.0,50000.0,0.01092399
166.0,0.33,125.0,50000.0,0.00955902
166.0,1,125.0,50000.0,0.00977082
166.0,3,125.0,50000.0,0.00874479
500.0,0.33,125.0,50000.0,0.00958258
500.0,1,125.0,50000.0,0.00942702
500.0,3,125.0,50000.0,0.00894922
1500.0,0.33,150.0,15000.0,0.00844985
1500.0,1,150.0,15000.0,0.00796959
1500.0,3,150.0,15000.0,0.00539885
166.0,0.33,150.0,15000.0,0.0094827
166.0,1,150.0,15000.0,0.00987809
166.0,3,150.0,15000.0,0.00896137
500.0,0.33,150.0,15000.0,0.00965721
500.0,1,150.0,15000.0,0.01041263
500.0,3,150.0,15000.0,0.01009872
1500.0,0.33,150.0,3000.0,0.01091378
1500.0,1,150.0,3000.0,0.00849498
1500.0,3,150.0,3000.0,0.00564055
166.0,0.33,150.0,3000.0,0.0095447
166.0,1,150.0,3000.0,0.00955162
166.0,3,150.0,3000.0,0.00946194
500.0,0.33,150.0,3000.0,0.00964601
500.0,1,150.0,3000.0,0.00948818
500.0,3,150.0,3000.0,0.00820196
1500.0,0.33,150.0,5000.0,0.00933454
1500.0,1,150.0,5000.0,0.00949593
1500.0,3,150.0,5000.0,0.00630286
166.0,0.33,150.0,5000.0,0.00964371
166.0,1,150.0,5000.0,0.0092761
166.0,3,150.0,5000.0,0.00998417
500.0,0.33,150.0,5000.0,0.00970673
500.0,1,150.0,5000.0,0.00934602
500.0,3,150.0,5000.0,0.00667408
1500.0,0.33,150.0,50000.0,0.00893685
1500.0,1,150.0,50000.0,0.00593316
1500.0,3,150.0,50000.0,0.01877359
166.0,0.33,150.0,50000.0,0.00967188
166.0,1,150.0,50000.0,0.00941276
166.0,3,150.0,50000.0,0.00991548
500.0,0.33,150.0,50000.0,0.00965982
500.0,1,150.0,50000.0,0.01009082
500.0,3,150.0,50000.0,0.0125058
1500.0,0.33,1500.0,15000.0,0.00971031
1500.0,1,1500.0,15000.0,0.00897379
1500.0,3,1500.0,15000.0,0.01221041
166.0,0.33,1500.0,15000.0,0.00959992
166.0,1,1500.0,15000.0,0.00937946
166.0,3,1500.0,15000.0,0.0088112
500.0,0.33,1500.0,15000.0,0.00990595
500.0,1,1500.0,15000.0,0.00955214
500.0,3,1500.0,15000.0,0.01168043
1500.0,0.33,1500.0,3000.0,0.009344
1500.0,1,1500.0,3000.0,0.00953259
1500.0,3,1500.0,3000.0,0.00661597
166.0,0.33,1500.0,3000.0,0.0095624
166.0,1,1500.0,3000.0,0.00954554
166.0,3,1500.0,3000.0,0.00811195
500.0,0.33,1500.0,3000.0,0.00960251
500.0,1,1500.0,3000.0,0.00920684
500.0,3,1500.0,3000.0,0.01137154
1500.0,0.33,1500.0,5000.0,0.0088564
1500.0,1,1500.0,5000.0,0.00953029
1500.0,3,1500.0,5000.0,0.01248811
166.0,0.33,1500.0,5000.0,0.00949026
166.0,1,1500.0,5000.0,0.0096982
166.0,3,1500.0,5000.0,0.00905508
500.0,0.33,1500.0,5000.0,0.00955528
500.0,1,1500.0,5000.0,0.00871751
500.0,3,1500.0,5000.0,0.010469
1500.0,0.33,1500.0,50000.0,0.0094621
1500.0,1,1500.0,50000.0,0.01067211
1500.0,3,1500.0,50000.0,0.01368334
166.0,0.33,1500.0,50000.0,0.00956592
166.0,1,1500.0,50000.0,0.00939507
166.0,3,1500.0,50000.0,0.01032269
500.0,0.33,1500.0,50000.0,0.00991953
500.0,1,1500.0,50000.0,0.00994227
500.0,3,1500.0,50000.0,0.00922512
1500.0,0.33,15000.0,15000.0,0.01008501
1500.0,1,15000.0,15000.0,0.00774397
1500.0,3,15000.0,15000.0,0.01163332
166.0,0.33,15000.0,15000.0,0.00967861
166.0,1,15000.0,15000.0,0.00969794
166.0,3,15000.0,15000.0,0.00908257
500.0,0.33,15000.0,15000.0,0.0095629
500.0,1,15000.0,15000.0,0.01015865
500.0,3,15000.0,15000.0,0.00855374
1500.0,0.33,15000.0,3000.0,0.01074575
1500.0,1,15000.0,3000.0,0.01231768
1500.0,3,15000.0,3000.0,0.00755054
166.0,0.33,15000.0,3000.0,0.00947535
166.0,1,15000.0,3000.0,0.00984756
166.0,3,15000.0,3000.0,0.00879928
500.0,0.33,15000.0,3000.0,0.00970032
500.0,1,15000.0,3000.0,0.00947419
500.0,3,15000.0,3000.0,0.00644961
