,clife,cof,life,vel,sep,vscore,std
138,571.43,97.96,5500.0,1,100,0.6708266210317748,0.0528466981985026
139,1142.86,57.14,1500.0,1,100,0.4585780026737412,0.0636030718657406
140,11428.57,4897.96,1500.0,1,100,0.4176534624760871,0.0662127055077153
141,1142.86,1142.86,2500.0,1,100,0.5724845757936263,0.0654592178085235
142,571.43,63.49,1500.0,1,100,0.4930352240156721,0.0685098150716566
143,228.57,24.49,1500.0,1,100,0.541191286493493,0.061552267711755
144,57.14,24.49,1500.0,1,100,0.5711630803467878,0.0634961193689293
145,22.86,2.54,4500.0,1,100,0.689922767550002,0.0512334741162942
146,57.14,14.28,2500.0,1,100,0.6358963671354609,0.0570819265778831
147,2285.71,244.9,3500.0,1,100,0.5086295966371376,0.0656489498473232
148,11428.57,571.43,2500.0,1,100,0.4146391965809914,0.0687495514664309
149,11.43,97.96,5500.0,1,100,0.691801279108052,0.0452666284814413
150,2285.71,253.97,500.0,1,100,0.3749204521410066,0.0680190658659048
151,571.43,571.43,4500.0,1,100,0.6690404779648543,0.052261121655357
152,57.14,38.09,1500.0,1,100,0.5736409974702078,0.0631087111320933
153,571.43,28.57,2500.0,1,100,0.5570623602269109,0.0666204887967508
154,571.43,146.94,500.0,1,100,0.3926571666941825,0.0692246121845252
155,114.29,5.71,500.0,1,100,0.4098443756972916,0.0665217337431436
156,2285.71,114.29,4500.0,1,100,0.5331246846773458,0.0648203638043013
157,2285.71,979.59,3500.0,1,100,0.5563350073285508,0.0617233969438442
158,1142.86,63.49,3500.0,1,100,0.5621618470219741,0.0627979677221237
159,11.43,4.9,2500.0,1,100,0.6396654103855174,0.0552892248756909
160,11428.57,2857.14,2500.0,1,100,0.4383776272334774,0.0658771326765029
161,571.43,97.96,500.0,1,100,0.3975642041538605,0.0633572229006252
162,114.29,114.29,2500.0,1,100,0.6383789779724344,0.0556415369119415
163,114.29,979.59,5500.0,1,100,0.6930819121438329,0.0456777886901079
164,22.86,22.86,4500.0,1,100,0.6803401540353068,0.0473748012066977
165,2285.71,253.97,4500.0,1,100,0.5495240921033449,0.0641241111644245
166,2285.71,2285.71,5500.0,1,100,0.6351474313632355,0.0603154823541194
167,57.14,2.86,4500.0,1,100,0.6768593957235295,0.0470443418884572
168,11428.57,7619.05,1500.0,1,100,0.4343555113934086,0.0644025463200127
169,11.43,7.62,1500.0,1,100,0.5761634127777308,0.0653713604599649
170,1142.86,761.91,3500.0,1,100,0.6080982130759116,0.0575840378494434
171,2285.71,126.98,2500.0,1,100,0.4764975719459091,0.0732395575327228
172,3428.57,1469.39,3500.0,1,100,0.5311371709740658,0.0660013424491256
173,571.43,146.94,5500.0,1,100,0.674562882289816,0.0506488028839991
174,22.86,1.27,1500.0,1,100,0.5746874221090676,0.0633637819546712
175,342.86,85.72,3500.0,1,100,0.6407811097627332,0.0556090982381917
176,228.57,25.4,4500.0,1,100,0.6678164508631046,0.0503494221609808
177,228.57,228.57,1500.0,1,100,0.5540665093591938,0.0634928677204507
178,342.86,228.57,3500.0,1,100,0.6480879811149385,0.0580938821892415
179,57.14,38.1,5500.0,1,100,0.6832818479301677,0.044858293087836
180,57.14,57.14,1500.0,1,100,0.5706594257279697,0.0628913905889788
181,228.57,57.14,1500.0,1,100,0.5382281046810878,0.0592313223799568
182,571.43,4897.96,500.0,1,100,0.421685649777074,0.0647942474524735
183,114.29,5.71,1500.0,1,100,0.5459636269143983,0.0644606370976433
184,11.43,1.27,4500.0,1,100,0.6817089184711862,0.0481216269130428
185,22.86,9.8,1500.0,1,100,0.5754678216727812,0.0661102521123006
186,114.29,28.57,4500.0,1,100,0.6817810861456014,0.0461053110968607
187,228.57,152.38,1500.0,1,100,0.5539532197138196,0.0626709300660526
188,114.29,76.19,3500.0,1,100,0.6715176958471618,0.0509026613678686
189,342.86,342.86,500.0,1,100,0.4047126514487886,0.0655357399289344
190,11428.57,11428.57,3500.0,1,100,0.5016250560111835,0.0665330464765723
191,228.57,11.43,500.0,1,100,0.3970095545151429,0.0676802269758596
192,57.14,489.8,3500.0,1,100,0.6759188191312447,0.0476004271496818
193,571.43,244.9,1500.0,1,100,0.5103433721994564,0.063166307397578
194,57.14,6.35,5500.0,1,100,0.6826156558998371,0.0470495560294333
195,228.57,12.7,5500.0,1,100,0.6838459108545705,0.0490425532355204
196,11.43,7.62,4500.0,1,100,0.6885591614184992,0.0501995592919121
197,2285.71,253.97,1500.0,1,100,0.4349392821005913,0.0631353218160327
198,11428.57,7619.05,4500.0,1,100,0.4948615238272058,0.0670802245739773
199,57.14,2.86,1500.0,1,100,0.5610379299438069,0.0605619859638642
200,22.86,15.24,3500.0,1,100,0.6741411212513698,0.0483987392245173
201,1142.86,285.71,3500.0,1,100,0.5869937314906323,0.0642655892802983
202,228.57,97.96,2500.0,1,100,0.6277277328795832,0.056285405638398
203,114.29,76.19,500.0,1,100,0.4185423645284114,0.0702543379920115
204,22.86,1.27,4500.0,1,100,0.6866131530773141,0.0516559859506238
205,228.57,25.4,1500.0,1,100,0.5291050110975793,0.0633207749854682
206,228.57,228.57,4500.0,1,100,0.687628454025601,0.0482569803596512
207,1142.86,126.98,5500.0,1,100,0.6365196874502779,0.059275471411607
208,571.43,142.86,5500.0,1,100,0.6793979983729359,0.0472036332369975
209,11428.57,1269.84,5500.0,1,100,0.4564851536949247,0.0680869104097663
210,11.43,2.86,3500.0,1,100,0.6698318449911954,0.0498676196994093
211,57.14,228.57,5500.0,1,100,0.691540777696934,0.0450053381740427
212,114.29,5.71,4500.0,1,100,0.6814444286439039,0.0511808099163159
213,228.57,57.14,4500.0,1,100,0.6744112355086355,0.0499425267333844
214,2285.71,1523.81,3500.0,1,100,0.5718752537875464,0.0627365082593762
215,57.14,57.14,4500.0,1,100,0.6842920886858288,0.046856625195301
216,2285.71,126.98,500.0,1,100,0.3773207544597056,0.0675644804557215
217,3428.57,380.95,2500.0,1,100,0.4518571365567987,0.068859684278974
218,571.43,244.9,500.0,1,100,0.399529944285459,0.0702028488078185
219,2285.71,571.43,500.0,1,100,0.3827748839312285,0.0659130893337979
220,571.43,2285.71,500.0,1,100,0.4208656837870561,0.066016986063268
221,3428.57,2285.71,5500.0,1,100,0.5953532175185275,0.0619360341962454
222,11.43,1.27,1500.0,1,100,0.5739056225235494,0.0654525397032203
223,114.29,48.98,5500.0,1,100,0.6916918768331807,0.0433869493719259
224,11428.57,11428.57,500.0,1,100,0.3923738916326109,0.067955036411198
225,571.43,857.14,5500.0,1,100,0.6871903711445704,0.0488920514113476
226,342.86,38.1,3500.0,1,100,0.6434698364036332,0.0568593110442569
227,228.57,152.38,4500.0,1,100,0.6738394569098369,0.0488898098388633
228,22.86,9.8,4500.0,1,100,0.6835604707051438,0.0458420358089307
229,114.29,28.57,1500.0,1,100,0.5615613421947697,0.0637101880129518
230,342.86,38.09,2500.0,1,100,0.6019590999666597,0.063061575204847
231,11.43,11.43,2500.0,1,100,0.6393196472027474,0.0585989545188852
232,571.43,244.9,4500.0,1,100,0.6607893167859874,0.0549589947769209
233,11.43,7.62,500.0,1,100,0.4234582674335785,0.0655193762126983
234,571.43,142.86,500.0,1,100,0.392973334160948,0.0679482826221988
235,22.86,5.71,3500.0,1,100,0.6699027880543877,0.0514909765125576
236,571.43,4897.96,3500.0,1,100,0.6674182839882234,0.0508743941241187
237,57.14,85.72,500.0,1,100,0.4176997436478186,0.0646241377285996
238,57.14,38.09,500.0,1,100,0.4139673953761092,0.0678880326334258
239,1142.86,285.71,500.0,1,100,0.3862272119344398,0.0726306454416897
240,3428.57,857.14,1500.0,1,100,0.4327515101024005,0.0639786917347598
241,342.86,342.86,3500.0,1,100,0.6600262506624154,0.0551308204879705
242,228.57,342.86,1500.0,1,100,0.5624543523534611,0.0590334473026909
243,571.43,571.43,500.0,1,100,0.4018175854310579,0.0632949152502488
244,342.86,146.94,3500.0,1,100,0.6515245403468781,0.0530697106524319
245,11428.57,4897.96,4500.0,1,100,0.4653575533489161,0.0633268655690633
246,571.43,63.49,4500.0,1,100,0.6483924760495018,0.0578406742672953
247,114.29,12.7,5500.0,1,100,0.6873524475231549,0.0469611045344991
248,1142.86,57.14,4500.0,1,100,0.607022419667185,0.0603200139508599
249,2285.71,1523.81,500.0,1,100,0.3880857313690444,0.0631224679458968
250,57.14,24.49,4500.0,1,100,0.6775711377167544,0.0522529118991942
251,228.57,24.49,4500.0,1,100,0.6710046856946033,0.0476178301915792
252,22.86,2.54,1500.0,1,100,0.5704410393439947,0.0602533877792513
253,3428.57,3428.57,2500.0,1,100,0.5387537693237252,0.0645799888918729
254,571.43,571.43,1500.0,1,100,0.5375182105119957,0.0639757806618908
255,57.14,9.8,2500.0,1,100,0.6309851069025655,0.0606367381777645
256,2285.71,114.29,1500.0,1,100,0.4318875910836149,0.0661299526139422
257,57.14,38.09,4500.0,1,100,0.6855932195195138,0.0479958371100362
258,22.86,22.86,1500.0,1,100,0.5714683697138109,0.0586970994315228
259,1142.86,1142.86,500.0,1,100,0.4015526181497939,0.0675126230704946
260,2285.71,571.43,5500.0,1,100,0.5851300198281667,0.0622579139703414
261,3428.57,3428.57,3500.0,1,100,0.5771064076788359,0.0602384735008863
262,228.57,228.57,500.0,1,100,0.4107759926608718,0.0696652307957576
263,57.14,24.49,5500.0,1,100,0.687863906251995,0.0463634295295082
264,228.57,24.49,5500.0,1,100,0.6827952769399783,0.0477268200662605
265,57.14,57.14,500.0,1,100,0.4217615877999993,0.0680000565101082
266,11.43,97.96,1500.0,1,100,0.5823702488379014,0.0641081515378093
267,2285.71,571.43,4500.0,1,100,0.5672902258729007,0.0622196679106532
268,114.29,979.59,1500.0,1,100,0.5734988212012216,0.0646922421194233
269,57.14,38.09,5500.0,1,100,0.6802938276888614,0.0493563611979409
270,57.14,9.8,3500.0,1,100,0.6687342010024755,0.0526689947239312
271,11.43,97.96,500.0,1,100,0.4308665232454332,0.0650519967566932
272,342.86,342.86,2500.0,1,100,0.6227684805526579,0.0567155551367535
273,114.29,6.35,1500.0,1,100,0.5590367759479079,0.0637316638930318
274,571.43,2285.71,1500.0,1,100,0.5588744792360989,0.0607561771604271
275,228.57,57.14,500.0,1,100,0.40809730612322,0.0655923276899493
276,22.86,5.71,2500.0,1,100,0.644974942870543,0.0557367459922637
277,57.14,228.57,500.0,1,100,0.4254705308667963,0.0670960362446779
278,1142.86,57.14,5500.0,1,100,0.6256117524744192,0.0593840523995573
279,571.43,97.96,1500.0,1,100,0.5051895050360078,0.0645952355231337
280,114.29,12.7,4500.0,1,100,0.6808014196965627,0.0493497085520934
281,571.43,63.49,5500.0,1,100,0.6608746684265233,0.0544705501162183
282,571.43,63.49,500.0,1,100,0.3867632933366879,0.0643312330566716
283,11428.57,4897.96,5500.0,1,100,0.4844465197511706,0.067907332349807
284,342.86,146.94,2500.0,1,100,0.6032041235664917,0.0628490945771731
285,228.57,11.43,1500.0,1,100,0.5203361481664214,0.0671053830362764
286,57.14,85.72,1500.0,1,100,0.5786138631912253,0.0593320825502737
287,114.29,48.98,4500.0,1,100,0.6809778350139771,0.0468931440540073
288,3428.57,857.14,500.0,1,100,0.377075624215279,0.0686998647697827
289,3428.57,2285.71,4500.0,1,100,0.5708671657242511,0.0653777797921877
