life,velocity,clife,cof,isoscore
1500.0,1,1.5,0.15,1.0114317239663162
500.0,1,1.5,0.15,1.0336606798451868
1500.0,1,1.5,0.3,1.0074762370102222
500.0,1,1.5,0.3,1.0012018356061552
1500.0,1,1.5,1.0,1.0046839482524585
500.0,1,1.5,1.0,1.0007712516569574
1500.0,1,1.5,15.0,1.0152046040548086
500.0,1,1.5,15.0,0.993937376199683
1500.0,1,1.5,150.0,1.0159716884652643
500.0,1,1.5,150.0,0.9950709408491345
1500.0,1,1.5,1500.0,1.0013642845667847
500.0,1,1.5,1500.0,1.0016924552396413
1500.0,1,1.5,3.0,0.9897595420522147
500.0,1,1.5,3.0,1.0057881326933777
1500.0,1,1.5,50.0,0.9990490934422109
500.0,1,1.5,50.0,1.017443048741771
1500.0,1,1.5,500.0,1.0073832976126726
500.0,1,1.5,500.0,0.9897484776045251
1500.0,1,10.0,0.15,1.0884091592384073
500.0,1,10.0,0.15,1.1494687973697544
1500.0,1,10.0,0.3,1.0462842196580107
500.0,1,10.0,0.3,1.0609244850809154
1500.0,1,10.0,1.0,1.0147448989841037
500.0,1,10.0,1.0,1.0106638391021316
1500.0,1,10.0,15.0,1.0011306722493551
500.0,1,10.0,15.0,1.0007980469965405
1500.0,1,10.0,150.0,1.0027325339488025
500.0,1,10.0,150.0,0.9988893930538079
1500.0,1,10.0,1500.0,0.9965436681805888
500.0,1,10.0,1500.0,1.0003007555094374
1500.0,1,10.0,3.0,1.0132500544686596
500.0,1,10.0,3.0,1.0239342624522056
1500.0,1,10.0,50.0,0.9991372464093456
500.0,1,10.0,50.0,1.0013500049827335
1500.0,1,10.0,500.0,0.9980434233093058
500.0,1,10.0,500.0,1.005306160385259
1500.0,1,150.0,0.15,1.3098837165655304
500.0,1,150.0,0.15,1.3470779110700077
1500.0,1,150.0,0.3,1.2302377525006323
500.0,1,150.0,0.3,1.2629876480685844
1500.0,1,150.0,1.0,1.1069135370561374
500.0,1,150.0,1.0,1.1715825574379817
1500.0,1,150.0,15.0,1.0769617332997943
500.0,1,150.0,15.0,1.109074834107759
1500.0,1,150.0,150.0,1.0276376575391644
500.0,1,150.0,150.0,1.0566958918236056
1500.0,1,150.0,1500.0,1.0127141895850855
500.0,1,150.0,1500.0,1.006529414449112
1500.0,1,150.0,3.0,1.0735836604645674
500.0,1,150.0,3.0,1.1436707824475552
1500.0,1,150.0,50.0,1.053383340950822
500.0,1,150.0,50.0,1.0861660941357845
1500.0,1,150.0,500.0,1.0200641647812245
500.0,1,150.0,500.0,1.0268492627716266
1500.0,1,1500.0,0.15,1.3805299771101534
