life,vel,face,clife,cof,sep,loopmean,loopstd
1500.0,1,0.0,15.0,15.0,100,1279.3194086666667,1026.8064390982747
1500.0,3,0.0,15.0,15.0,100,1972.4048937,1317.3950844760436
1500.0,1,0.0,15.0,15.0,300,2009.02301996633,1803.4145706193458
1500.0,3,0.0,15.0,15.0,300,3920.8360474747474,3133.217557829924
1500.0,1,0.0,15.0,15.0,500,2294.704760888889,2118.1162091697
1500.0,3,0.0,15.0,15.0,500,5134.743493722222,4130.593726884499
500.0,1,0.0,15.0,15.0,100,682.4516120222222,623.7953029395892
500.0,3,0.0,15.0,15.0,100,1292.9199378555556,1053.4785018649509
500.0,1,0.0,15.0,15.0,300,863.2467185521886,805.0847934277753
500.0,3,0.0,15.0,15.0,300,2050.5604155218857,1784.8111115896088
500.0,1,0.0,15.0,15.0,500,914.5047427777778,925.9455568544555
500.0,3,0.0,15.0,15.0,500,2243.4445858333333,1936.2452582310607
1500.0,0.33,0.1,10.0,1.0,100,676.7345540666666,614.2784395979216
1500.0,1,0.1,10.0,1.0,100,1312.977417811111,1057.9082510794021
1500.0,3,0.1,10.0,1.0,100,1986.3223197444445,1384.249004263749
166.0,0.33,0.1,10.0,1.0,100,104.2477285111111,102.47803776195333
166.0,1,0.1,10.0,1.0,100,285.33455193333333,274.25366003615267
166.0,3,0.1,10.0,1.0,100,669.3645728222223,602.5674953700031
500.0,0.33,0.1,10.0,1.0,100,286.9201578222222,276.5705874218566
500.0,1,0.1,10.0,1.0,100,675.6472550333333,615.365428380676
500.0,3,0.1,10.0,1.0,100,1309.8923195444445,1088.8445884688826
1500.0,0.33,0.1,10.0,150.0,100,682.9917624222222,629.4016040627332
1500.0,1,0.1,10.0,150.0,100,1309.0165881666667,1056.3180176316084
1500.0,3,0.1,10.0,150.0,100,1958.1865986888888,1322.3134051133507
166.0,0.33,0.1,10.0,150.0,100,104.15585742222223,102.46060975417487
166.0,1,0.1,10.0,150.0,100,284.57068654444447,275.14592990050306
166.0,3,0.1,10.0,150.0,100,678.1713104222222,615.8214228415604
500.0,0.33,0.1,10.0,150.0,100,286.4360997111111,275.5138332114854
500.0,1,0.1,10.0,150.0,100,676.0125672888889,611.181274925275
500.0,3,0.1,10.0,150.0,100,1262.792858288889,1000.7637037608409
1500.0,0.33,0.1,10.0,3.0,100,670.8381566555555,608.9503938524487
1500.0,1,0.1,10.0,3.0,100,1310.2288653666667,1085.2088716980536
1500.0,3,0.1,10.0,3.0,100,2081.207612788889,1375.4636524519315
166.0,0.33,0.1,10.0,3.0,100,104.5173718111111,103.80213370295819
166.0,1,0.1,10.0,3.0,100,285.7766018666667,273.50106880373426
166.0,3,0.1,10.0,3.0,100,680.8307518111111,617.637270124729
500.0,0.33,0.1,10.0,3.0,100,286.57998836666667,274.35474290919836
500.0,1,0.1,10.0,3.0,100,676.7551993666667,613.524158344898
500.0,3,0.1,10.0,3.0,100,1305.2960773777777,1054.4129538058671
1500.0,1,0.1,15.0,15.0,100,1291.7891315333334,1042.2830459067673
1500.0,3,0.1,15.0,15.0,100,2034.3133176666668,1354.5264470571888
1500.0,1,0.1,15.0,15.0,300,2113.670518754209,1883.0598647406193
1500.0,3,0.1,15.0,15.0,300,4019.3361844444444,3397.98252837667
1500.0,1,0.1,15.0,15.0,500,2166.2163620555557,1897.5797849721225
1500.0,3,0.1,15.0,15.0,500,4725.550606944445,3870.08602313291
500.0,1,0.1,15.0,15.0,100,687.1508459555556,629.5597918397232
500.0,3,0.1,15.0,15.0,100,1290.7121841111111,1052.2114699681326
500.0,1,0.1,15.0,15.0,300,858.8007631986532,822.1121333289542
500.0,3,0.1,15.0,15.0,300,2025.37020006734,1810.0314386646828
500.0,1,0.1,15.0,15.0,500,921.9104500555555,929.114454967128
500.0,3,0.1,15.0,15.0,500,2462.024911666667,2408.8962209099855
1500.0,0.33,0.1,1500.0,1.0,100,672.7765797777778,611.8951615860938
1500.0,1,0.1,1500.0,1.0,100,1311.2462696444445,1067.4537329092445
1500.0,3,0.1,1500.0,1.0,100,2094.4556795666667,1438.3852270317734
166.0,0.33,0.1,1500.0,1.0,100,104.75113605555556,103.2151134815776
166.0,1,0.1,1500.0,1.0,100,286.55592383333334,275.72456321399375
166.0,3,0.1,1500.0,1.0,100,672.7540174444445,600.2979355177671
500.0,0.33,0.1,1500.0,1.0,100,280.88896962222225,270.4112711458643
500.0,1,0.1,1500.0,1.0,100,671.0840130888889,606.9983278482381
500.0,3,0.1,1500.0,1.0,100,1295.4192094888888,1075.4136626764318
1500.0,0.33,0.1,1500.0,150.0,100,667.5843826111111,604.4897170041471
1500.0,1,0.1,1500.0,150.0,100,1306.5254899111112,1064.1056862323194
1500.0,3,0.1,1500.0,150.0,100,2046.716276988889,1424.3165690076517
166.0,0.33,0.1,1500.0,150.0,100,104.39904987777778,102.81880733269219
166.0,1,0.1,1500.0,150.0,100,284.3961734777778,272.06664081737966
166.0,3,0.1,1500.0,150.0,100,669.2776571111111,597.7258204997
500.0,0.33,0.1,1500.0,150.0,100,283.20157302222225,269.1442398188186
500.0,1,0.1,1500.0,150.0,100,678.5937105555555,619.3787903115137
500.0,3,0.1,1500.0,150.0,100,1272.4464556222222,1010.4777026592253
1500.0,0.33,0.1,1500.0,3.0,100,663.8063242111111,595.8787193290534
1500.0,1,0.1,1500.0,3.0,100,1303.2342825,1050.2888018689305
1500.0,3,0.1,1500.0,3.0,100,2055.175974122222,1435.8033628694666
166.0,0.33,0.1,1500.0,3.0,100,104.39826672222222,102.90455656840558
166.0,1,0.1,1500.0,3.0,100,284.6544340666667,273.7697634650276
166.0,3,0.1,1500.0,3.0,100,678.5430489777777,612.7836874317854
500.0,0.33,0.1,1500.0,3.0,100,283.14746975555556,271.09383370778113
500.0,1,0.1,1500.0,3.0,100,678.0784920222222,622.1402668138805
500.0,3,0.1,1500.0,3.0,100,1275.549228711111,1017.8174178531456
1500.0,0.33,0.1,30.0,1.0,100,677.8414799111112,628.0618537451567
1500.0,1,0.1,30.0,1.0,100,1296.3504277333334,1037.7733749673039
1500.0,3,0.1,30.0,1.0,100,2016.4500214,1436.8758843225276
166.0,0.33,0.1,30.0,1.0,100,104.32361433333334,103.00423725926636
166.0,1,0.1,30.0,1.0,100,282.83656301111114,269.02347212341726
166.0,3,0.1,30.0,1.0,100,678.0603371666666,623.5674157353125
500.0,0.33,0.1,30.0,1.0,100,287.65923146666665,277.43893581348294
500.0,1,0.1,30.0,1.0,100,677.1011160111111,626.6396220170163
500.0,3,0.1,30.0,1.0,100,1295.9996352444443,1042.1396780066564
1500.0,0.33,0.1,30.0,150.0,100,669.9200724888889,605.4864422580982
1500.0,1,0.1,30.0,150.0,100,1299.4746427444445,1033.2757027162957
1500.0,3,0.1,30.0,150.0,100,1994.1596977555555,1346.2529533490545
166.0,0.33,0.1,30.0,150.0,100,104.74875383333334,103.24259536169774
166.0,1,0.1,30.0,150.0,100,284.4107845888889,273.0060323768795
166.0,3,0.1,30.0,150.0,100,674.8830112777778,618.7660417067766
500.0,0.33,0.1,30.0,150.0,100,283.40228955555557,273.3980135595601
500.0,1,0.1,30.0,150.0,100,679.0332461444444,617.9302037421503
500.0,3,0.1,30.0,150.0,100,1286.4986042444446,1012.0163518403954
1500.0,0.33,0.1,30.0,3.0,100,666.5780824666666,611.7653616993985
1500.0,1,0.1,30.0,3.0,100,1286.4034341111112,1028.6990424987318
1500.0,3,0.1,30.0,3.0,100,2042.1660989666666,1409.5809408801579
166.0,0.33,0.1,30.0,3.0,100,104.83658702222222,103.77123762337784
166.0,1,0.1,30.0,3.0,100,289.6337932777778,280.30956710886403
166.0,3,0.1,30.0,3.0,100,671.1868047666667,602.7406234479423
500.0,0.33,0.1,30.0,3.0,100,285.5460891,275.06936727038175
500.0,1,0.1,30.0,3.0,100,675.0028147888889,611.4608459467281
500.0,3,0.1,30.0,3.0,100,1304.1270044666667,1066.9211944703616
1500.0,1,0.2,15.0,15.0,100,1307.2212900666666,1048.9458130555622
1500.0,3,0.2,15.0,15.0,100,1983.975123588889,1372.21043095489
1500.0,1,0.2,15.0,15.0,300,2033.407208956229,1796.4417647577077
1500.0,3,0.2,15.0,15.0,300,3881.0998564309766,2909.1784901552487
1500.0,1,0.2,15.0,15.0,500,2174.3850351666665,1861.852623186463
1500.0,3,0.2,15.0,15.0,500,4917.288853444445,4213.913055682508
500.0,1,0.2,15.0,15.0,100,679.4003889222222,616.9123799050385
500.0,3,0.2,15.0,15.0,100,1295.922463,1024.2051152599995
500.0,1,0.2,15.0,15.0,300,862.5418468350168,826.3920532158683
500.0,3,0.2,15.0,15.0,300,2002.617038080808,1739.7770191777997
500.0,1,0.2,15.0,15.0,500,919.5090215,893.7798532394448
500.0,3,0.2,15.0,15.0,500,2228.3189376666664,1951.7012382444113
1500.0,0.33,0.3,10.0,1.0,100,681.8286856777778,626.0234228843491
1500.0,1,0.3,10.0,1.0,100,1277.1682887,1027.0527683586404
1500.0,3,0.3,10.0,1.0,100,2115.6512709555554,1449.9561645942374
166.0,0.33,0.3,10.0,1.0,100,103.64742728888889,101.87907921722717
166.0,1,0.3,10.0,1.0,100,284.3792881333333,275.9237784262587
166.0,3,0.3,10.0,1.0,100,674.4754694777778,615.7538191838335
500.0,0.33,0.3,10.0,1.0,100,281.31294886666666,269.81197643632026
500.0,1,0.3,10.0,1.0,100,683.8944752222222,624.1358641425138
500.0,3,0.3,10.0,1.0,100,1332.6961050666666,1104.186203880903
1500.0,0.33,0.3,10.0,150.0,100,677.1436689555555,628.6406054385296
1500.0,1,0.3,10.0,150.0,100,1306.897789711111,1093.9203161674845
1500.0,3,0.3,10.0,150.0,100,2027.557576611111,1375.8764751399158
166.0,0.33,0.3,10.0,150.0,100,104.36074596666667,103.20475638276224
166.0,1,0.3,10.0,150.0,100,286.94976613333336,275.4814563643937
166.0,3,0.3,10.0,150.0,100,676.5189937111111,614.886927740717
500.0,0.33,0.3,10.0,150.0,100,284.0311941111111,274.7995819872586
500.0,1,0.3,10.0,150.0,100,671.3520934333334,607.7611413945112
500.0,3,0.3,10.0,150.0,100,1327.9036766,1082.808183502059
1500.0,0.33,0.3,10.0,3.0,100,669.0753196,607.0258441065869
1500.0,1,0.3,10.0,3.0,100,1304.5033080333333,1042.4509575345198
1500.0,3,0.3,10.0,3.0,100,2043.6501674333333,1383.638164568057
166.0,0.33,0.3,10.0,3.0,100,103.99579707777778,101.941865025404
