life,vel,clife,cof,sep,loopmean,loopstd
500.0,1,50.0,150.0,100,681.7060224222222,621.8378157091587
500.0,1,50.0,1500.0,100,677.9236946444445,614.3580665089229
500.0,1,50.0,15000.0,100,684.3116445777778,625.1586863094399
500.0,1,50.0,150000.0,100,678.2434918666667,623.2285435580688
500.0,1,50.0,3.0,100,646.8081875555556,593.9784656868067
500.0,1,50.0,5.0,100,647.1171135222222,591.3536912790764
500.0,1,50.0,50.0,100,664.0221095555555,617.1193460410424
500.0,1,50.0,500.0,100,674.8232695111111,621.5260439050354
500.0,1,50.0,5000.0,100,676.4198534555555,609.9515345793913
500.0,1,50.0,50000.0,100,678.8698986555555,614.0884675332724
500.0,1,50.0,500000.0,100,679.0448567222222,624.552573843652
500.0,1,500.0,0.1,100,437.91304574444445,366.1610898342595
500.0,1,500.0,0.2,100,444.9623532888889,371.3763712587608
500.0,1,500.0,0.3,100,455.40678356666666,387.07186720419395
500.0,1,500.0,0.5,100,469.3059192222222,405.41858703521467
500.0,1,500.0,0.75,100,482.48763451111114,413.6007944034185
500.0,1,500.0,1.0,100,505.0504232888889,437.3344499375262
500.0,1,500.0,1.25,100,489.5140111333333,416.12902699958624
500.0,1,500.0,1.5,100,502.5346786555556,436.5791342079312
500.0,1,500.0,10.0,100,533.0446618555555,471.4607069229248
500.0,1,500.0,100000.0,100,680.9758315555556,620.48222618272
500.0,1,500.0,15.0,100,533.7941796,472.76546798088424
500.0,1,500.0,150.0,100,564.8481863,500.718638032857
500.0,1,500.0,1500.0,100,632.2696497555555,563.9384610201411
500.0,1,500.0,15000.0,100,672.8049934111111,610.2319599430815
500.0,1,500.0,150000.0,100,676.7368686555556,611.1051464583163
500.0,1,500.0,3.0,100,517.1775039888889,452.69654817193725
500.0,1,500.0,30.0,100,544.2043755111112,488.31962407096205
500.0,1,500.0,5.0,100,519.0225071222222,457.16081416282697
500.0,1,500.0,50.0,100,549.7046054666666,490.47515132106963
500.0,1,500.0,500.0,100,609.0999084111111,537.1239990712153
500.0,1,500.0,5000.0,100,656.8473292444445,589.326282925584
500.0,1,500.0,50000.0,100,673.1320777888889,612.8348347766591
500.0,1,500.0,500000.0,100,678.4393686222222,616.0457703189403
500.0,1,5000.0,1.0,100,446.4139217222222,373.96067340224926
500.0,1,5000.0,1.5,100,440.29046204444444,370.8422707380846
500.0,1,5000.0,100000.0,100,676.6607881666666,613.9987610473112
500.0,1,5000.0,15.0,100,444.9548681888889,376.3439460635529
500.0,1,5000.0,150.0,100,451.13007894444445,379.29146367807533
500.0,1,5000.0,1500.0,100,501.07280514444443,425.13442646942667
500.0,1,5000.0,15000.0,100,607.5664882,533.2136238418134
500.0,1,5000.0,150000.0,100,652.3862339555556,574.0076911096794
500.0,1,5000.0,3.0,100,446.7824652333333,365.640376315874
500.0,1,5000.0,5.0,100,442.79044933333336,368.6651394565202
500.0,1,5000.0,50.0,100,448.02858043333333,376.77070529342274
500.0,1,5000.0,500.0,100,467.20301424444443,394.3073050536355
500.0,1,5000.0,5000.0,100,552.8660602,476.6998675988416
500.0,1,5000.0,50000.0,100,659.0206984555556,587.8957202380614
500.0,1,5000.0,500000.0,100,674.1068757666667,612.594975149672
500.0,1,50000.0,1.0,100,438.3506245,367.0761618350619
500.0,1,50000.0,1.5,100,436.6039566555556,368.58187524612094
500.0,1,50000.0,100000.0,100,578.5096494777778,494.6262947654493
500.0,1,50000.0,15.0,100,435.80580256666667,366.17049525907896
500.0,1,50000.0,150.0,100,436.3512531888889,364.6861748612653
500.0,1,50000.0,1500.0,100,442.2072730111111,369.2061135215497
500.0,1,50000.0,15000.0,100,479.00921378888887,399.58225356120494
500.0,1,50000.0,150000.0,100,602.5133039666666,526.8339984037192
500.0,1,50000.0,3.0,100,437.7057003666667,364.5142246187141
500.0,1,50000.0,5.0,100,433.1778342888889,361.11472596079994
500.0,1,50000.0,50.0,100,430.31104207777776,355.7541918554824
500.0,1,50000.0,500.0,100,437.5365268111111,360.6745910197419
500.0,1,50000.0,5000.0,100,462.5165518111111,389.69713384826025
500.0,1,50000.0,50000.0,100,542.5105011111111,460.36599261975346
500.0,1,50000.0,500000.0,100,651.3023430888888,576.1169161294637
500.0,1,500000.0,1.0,100,440.5594908666667,367.97968105365135
500.0,1,500000.0,1.5,100,433.3331095888889,358.5935106290073
500.0,1,500000.0,100000.0,100,470.9920515777778,395.50300967889893
500.0,1,500000.0,15.0,100,432.41619992222223,358.08915674006914
500.0,1,500000.0,150.0,100,432.9958221111111,356.4563403579601
500.0,1,500000.0,1500.0,100,434.3882263,364.06394005134024
500.0,1,500000.0,15000.0,100,439.0530161111111,368.19397661767437
500.0,1,500000.0,150000.0,100,490.2231322555556,416.95807866345365
500.0,1,500000.0,3.0,100,436.48783792222224,358.6556957149779
500.0,1,500000.0,5.0,100,429.68187498888886,355.94982751783624
500.0,1,500000.0,50.0,100,437.77763345555553,362.49901878337386
500.0,1,500000.0,500.0,100,430.75511275555556,347.6975871425782
500.0,1,500000.0,5000.0,100,440.84204723333335,366.2277595611495
500.0,1,500000.0,50000.0,100,452.9683966777778,371.6763271868809
500.0,1,500000.0,500000.0,100,549.7958052111111,461.094825736589
500.0,1,7.5,0.1,100,437.33557636666666,367.0432547808106
500.0,1,7.5,0.2,100,633.3239955888889,566.1455270402187
500.0,1,7.5,0.3,100,650.7128408,597.6914091955774
500.0,1,7.5,0.5,100,660.6062049666666,590.7083977500553
500.0,1,7.5,0.75,100,661.5072379222222,592.0228141232511
500.0,1,7.5,1.0,100,676.5714405333333,628.9769508526314
500.0,1,7.5,1.25,100,668.1025300555556,606.2305250607938
500.0,1,7.5,1.5,100,667.0679324777777,598.7747263231719
500.0,1,7.5,10.0,100,680.6432911333334,618.8900828906235
500.0,1,7.5,15.0,100,670.0884212333333,600.4043458226821
500.0,1,7.5,150.0,100,676.7005396777778,602.2926160401272
500.0,1,7.5,3.0,100,660.6690501222222,599.4670348010162
500.0,1,7.5,30.0,100,666.4496225888889,607.2481762106866
500.0,1,7.5,50.0,100,681.1183143777778,609.0359508487683
