lifetime,velocity,clife,cof,loopsize
500,1,30,100,993.0769230769231
500,1,50,100,983.3333333333333
500,1,100,100,950.0
500,1,150,100,910.0
500,1,500,100,620.8333333333333
500,1,1000,100,475.0
500,1,1500,100,420.3125
500,1,5000,100,337.7450980392157
500,1,10000,100,319.05940594059405
500,1,15000,100,312.74834437086093
500,1,50000,100,303.8423153692615
500,1,150000,100,301.2824783477681
1500,1,1,100,2999.990099009901
1500,1,1.5,100,2999.977832512315
1500,1,3,100,2999.912621359223
1500,1,5,100,2999.7619047619046
1500,1,10,100,2999.090909090909
1500,1,15,100,2998.0434782608695
1500,1,30,100,2993.0769230769233
1500,1,50,100,2983.333333333333
1500,1,100,100,2950.0
1500,1,150,100,2910.0
1500,1,500,100,2583.3333333333335
1500,1,1000,100,2090.909090909091
1500,1,1500,100,1607.8125
1500,1,5000,100,710.2941176470588
1500,1,10000,100,507.1782178217822
1500,1,15000,100,438.57615894039736
1500,1,50000,100,341.76646706586826
1500,1,150000,100,313.94070619586944
500,1,1,150,999.9933774834437
500,1,1.5,150,999.9851485148515
500,1,3,150,999.9411764705882
500,1,5,150,999.8387096774194
500,1,10,150,999.375
500,1,15,150,998.6363636363636
500,1,30,150,995.0
500,1,50,150,987.5
500,1,100,150,960.0
500,1,150,150,925.0
500,1,500,150,650.0
500,1,1000,150,497.82608695652175
500,1,1500,150,437.8787878787879
500,1,5000,150,344.1747572815534
500,1,10000,150,322.4137931034483
500,1,15000,150,315.016501650165
500,1,50000,150,304.5363908275175
500,1,150000,150,301.5151515151515
1500,1,1,150,2999.9933774834435
1500,1,1.5,150,2999.9851485148515
1500,1,3,150,2999.9411764705883
1500,1,5,150,2999.8387096774195
1500,1,10,150,2999.375
1500,1,15,150,2998.6363636363635
1500,1,30,150,2995.0
1500,1,50,150,2987.5
1500,1,100,150,2960.0
1500,1,150,150,2925.0
1500,1,500,150,2615.3846153846152
1500,1,1000,150,2130.4347826086955
1500,1,1500,150,1650.0
1500,1,5000,150,732.5242718446602
1500,1,10000,150,519.4581280788177
1500,1,15000,150,447.029702970297
1500,1,50000,150,344.4167497507478
1500,1,150000,150,314.83516483516485
500,1,1,500,999.9980039920159
500,1,1.5,500,999.9955134596212
500,1,3,500,999.9821073558649
500,1,5,500,999.950495049505
500,1,10,500,999.8039215686274
500,1,15,500,999.5631067961166
500,1,30,500,998.3018867924528
500,1,50,500,995.4545454545455
500,1,100,500,983.3333333333334
500,1,150,500,965.3846153846154
500,1,500,500,772.5
500,1,1000,500,614.9999999999999
500,1,1500,500,536.25
500,1,5000,500,385.9090909090909
500,1,10000,500,345.0
500,1,15000,500,330.4838709677419
500,1,50000,500,309.35643564356434
500,1,150000,500,303.1395348837209
1500,1,1,500,2999.998003992016
1500,1,1.5,500,2999.995513459621
1500,1,3,500,2999.9821073558646
1500,1,5,500,2999.9504950495048
1500,1,10,500,2999.803921568627
1500,1,15,500,2999.5631067961162
1500,1,30,500,2998.301886792453
1500,1,50,500,2995.4545454545455
1500,1,100,500,2983.3333333333335
1500,1,150,500,2965.3846153846157
1500,1,500,500,2750.0
1500,1,1000,500,2333.333333333333
1500,1,1500,500,1886.25
1500,1,5000,500,876.8181818181818
1500,1,10000,500,602.1428571428571
1500,1,15000,500,504.6774193548388
1500,1,50000,500,362.8217821782178
1500,1,150000,500,321.0797342192691
500,1,1,1000,999.999000999001
500,1,1.5,1000,999.997753369945
500,1,3,1000,999.9910269192424
500,1,5,1000,999.9751243781094
500,1,10,1000,999.90099009901
500,1,15,1000,999.7783251231527
500,1,30,1000,999.1262135922331
500,1,50,1000,997.6190476190476
500,1,100,1000,990.9090909090909
500,1,150,1000,980.4347826086956
500,1,500,1000,848.3333333333333
500,1,1000,1000,711.25
500,1,1500,1000,629.0
500,1,5000,1000,437.0833333333333
500,1,10000,1000,374.77272727272725
500,1,15000,1000,351.40625
500,1,50000,1000,316.12745098039215
500,1,150000,1000,305.44701986754967
1500,1,1,1000,2999.999000999001
1500,1,1.5,1000,2999.997753369945
1500,1,3,1000,2999.9910269192424
1500,1,5,1000,2999.9751243781097
1500,1,10,1000,2999.90099009901
1500,1,15,1000,2999.7783251231526
1500,1,30,1000,2999.126213592233
1500,1,50,1000,2997.6190476190473
1500,1,100,1000,2990.909090909091
1500,1,150,1000,2980.4347826086955
1500,1,500,1000,2833.333333333333
1500,1,1000,1000,2500.0
1500,1,1500,1000,2109.0
1500,1,5000,1000,1053.75
1500,1,10000,1000,711.1363636363636
1500,1,15000,1000,582.65625
1500,1,50000,1000,388.6764705882353
1500,1,150000,1000,329.9503311258278
500,1,1,1500,999.9993337774816
500,1,1.5,1500,999.9985014985015
500,1,3,1500,999.9940119760478
500,1,5,1500,999.9833887043189
500,1,10,1500,999.9337748344371
500,1,15,1500,999.8514851485148
500,1,30,1500,999.4117647058823
500,1,50,1500,998.3870967741937
500,1,100,1500,993.75
500,1,150,1500,986.3636363636364
500,1,500,1500,886.25
500,1,1000,1500,769.0
500,1,1500,1500,690.8333333333334
500,1,5000,1500,480.3846153846154
500,1,10000,1500,401.95652173913044
500,1,15000,1500,371.06060606060606
500,1,50000,1500,322.7669902912621
500,1,150000,1500,307.73927392739273
1500,1,1,1500,2999.9993337774813
1500,1,1.5,1500,2999.9985014985014
1500,1,3,1500,2999.994011976048
1500,1,5,1500,2999.9833887043187
1500,1,10,1500,2999.933774834437
1500,1,15,1500,2999.8514851485147
1500,1,30,1500,2999.4117647058824
1500,1,50,1500,2998.3870967741937
1500,1,100,1500,2993.75
1500,1,150,1500,2986.3636363636365
1500,1,500,1500,2875.0
1500,1,1000,1500,2600.0
1500,1,1500,1500,2257.5
1500,1,5000,1500,1203.4615384615386
1500,1,10000,1500,810.6521739130435
1500,1,15000,1500,655.909090909091
1500,1,50000,1500,414.02912621359224
1500,1,150000,1500,338.76237623762376
500,1,1,5000,999.999800039992
500,1,1.5,5000,999.9995501349595
500,1,3,5000,999.9982010793525
500,1,5,5000,999.995004995005
500,1,10,5000,999.9800399201596
500,1,15,5000,999.9551345962115
500,1,30,5000,999.8210735586482
500,1,50,5000,999.5049504950495
500,1,100,5000,998.0392156862745
500,1,150,5000,995.6310679611651
500,1,500,5000,958.6363636363636
500,1,1000,5000,903.75
500,1,1500,5000,857.3076923076923
500,1,5000,5000,662.25
500,1,10000,5000,541.4999999999999
500,1,15000,5000,481.125
500,1,50000,5000,365.8636363636364
500,1,150000,5000,323.3709677419355
1500,1,1,5000,2999.999800039992
1500,1,1.5,5000,2999.9995501349595
1500,1,3,5000,2999.9982010793524
1500,1,5,5000,2999.995004995005
1500,1,10,5000,2999.9800399201595
1500,1,15,5000,2999.9551345962113
1500,1,30,5000,2999.821073558648
1500,1,50,5000,2999.5049504950493
1500,1,100,5000,2998.0392156862745
1500,1,150,5000,2995.631067961165
1500,1,500,5000,2954.5454545454545
1500,1,1000,5000,2833.3333333333335
1500,1,1500,5000,2657.3076923076924
1500,1,5000,5000,1832.25
1500,1,10000,5000,1321.5
1500,1,15000,5000,1066.125
1500,1,50000,5000,578.5909090909091
1500,1,150000,5000,398.85483870967744
500,1,1,10000,999.999900009999
500,1,1.5,10000,999.9997750337449
500,1,3,10000,999.9991002699189
500,1,5,10000,999.9975012493753
500,1,10,10000,999.99000999001
500,1,15,10000,999.9775336994508
500,1,30,10000,999.9102691924228
500,1,50,10000,999.7512437810946
500,1,100,10000,999.009900990099
500,1,150,10000,997.7832512315272
500,1,500,10000,978.3333333333333
500,1,1000,10000,947.5
500,1,1500,10000,919.3478260869565
500,1,5000,10000,774.8333333333333
500,1,10000,10000,656.125
500,1,15000,10000,584.9
500,1,50000,10000,418.7083333333333
500,1,150000,10000,344.515625
1500,1,1,10000,2999.999900009999
1500,1,1.5,10000,2999.9997750337448
1500,1,3,10000,2999.999100269919
1500,1,5,10000,2999.9975012493755
1500,1,10,10000,2999.99000999001
1500,1,15,10000,2999.9775336994508
1500,1,30,10000,2999.9102691924227
1500,1,50,10000,2999.7512437810947
1500,1,100,10000,2999.0099009900987
1500,1,150,10000,2997.783251231527
1500,1,500,10000,2976.1904761904757
1500,1,1000,10000,2909.090909090909
1500,1,1500,10000,2806.3043478260865
1500,1,5000,10000,2221.5
1500,1,10000,10000,1741.125
1500,1,15000,10000,1452.9
1500,1,50000,10000,780.375
1500,1,150000,10000,480.140625
500,1,1,15000,999.9999333377775
500,1,1.5,15000,999.9998500149985
500,1,3,15000,999.999400119976
500,1,5,15000,999.9983338887038
500,1,10,15000,999.9933377748167
500,1,15,15000,999.985014985015
500,1,30,15000,999.940119760479
500,1,50,15000,999.8338870431893
500,1,100,15000,999.3377483443709
500,1,150,15000,998.5148514851485
500,1,500,15000,985.3225806451613
500,1,1000,15000,963.90625
500,1,1500,15000,943.7878787878788
500,1,5000,15000,831.125
500,1,10000,15000,724.9
500,1,15000,15000,654.0833333333334
500,1,50000,15000,463.4230769230769
500,1,150000,15000,364.3787878787879
1500,1,1,15000,2999.9999333377777
1500,1,1.5,15000,2999.9998500149986
1500,1,3,15000,2999.999400119976
1500,1,5,15000,2999.9983338887037
1500,1,10,15000,2999.9933377748166
1500,1,15,15000,2999.985014985015
1500,1,30,15000,2999.940119760479
1500,1,50,15000,2999.833887043189
1500,1,100,15000,2999.337748344371
1500,1,150,15000,2998.5148514851485
1500,1,500,15000,2983.8709677419356
1500,1,1000,15000,2937.5
1500,1,1500,15000,2865.0
1500,1,5000,15000,2416.125
1500,1,10000,15000,1992.9
1500,1,15000,15000,1710.75
1500,1,50000,15000,951.1153846153846
1500,1,150000,15000,556.5
500,3,1,1.0,2998.5
500,3,1.5,1.0,2997.3
500,3,3,1.0,2993.25
500,3,5,1.0,2987.5
500,3,10,1.0,2972.7272727272725
500,3,15,1.0,2957.8125
500,3,30,1.0,2912.9032258064517
500,3,50,1.0,2852.9411764705883
500,3,100,1.0,2702.970297029703
500,3,150,1.0,2552.980132450331
500,3,500,1.0,1517.9640718562873
500,3,1000,1.0,909.5904095904095
500,3,1500,1.0,706.528980679547
500,3,5000,1.0,422.0155968806239
500,3,10000,1.0,361.013898610139
500,3,15000,1.0,340.67728818078797
500,3,50000,1.0,312.20375592488153
500,3,150000,1.0,304.0679728801808
1500,3,1,1.0,8998.5
1500,3,1.5,1.0,8997.3
1500,3,3,1.0,8993.25
1500,3,5,1.0,8987.5
1500,3,10,1.0,8972.727272727272
1500,3,15,1.0,8957.8125
1500,3,30,1.0,8912.90322580645
1500,3,50,1.0,8852.941176470587
1500,3,100,1.0,8702.970297029704
1500,3,150,1.0,8552.98013245033
1500,3,500,1.0,7502.994011976049
1500,3,1000,1.0,6002.997002997003
1500,3,1500,1.0,4507.994670219853
1500,3,5000,1.0,1562.987402519496
1500,3,10000,1.0,931.5568443155685
1500,3,15000,1.0,721.0519298713418
1500,3,50000,1.0,426.3214735705286
1500,3,150000,1.0,342.1077192818715
500,3,1,1.5,2998.8
500,3,1.5,1.5,2997.75
500,3,3,1.5,2994.0
500,3,5,1.5,2988.461538461539
500,3,10,1.5,2973.913043478261
500,3,15,1.5,2959.090909090909
500,3,30,1.5,2914.2857142857138
500,3,50,1.5,2854.368932038835
500,3,100,1.5,2704.4334975369457
500,3,150,1.5,2554.4554455445545
500,3,500,1.5,1519.4416749750749
500,3,1000,1.5,910.6340489266101
500,3,1500,1.5,707.2927072927073
500,3,5000,1.5,422.27331800459865
500,3,10000,1.5,361.1458281257811
500,3,15000,1.5,340.7659234076592
500,3,50000,1.5,312.23063308100757
500,3,150000,1.5,304.0769592304077
1500,3,1,1.5,8998.8
1500,3,1.5,1.5,8997.75
1500,3,3,1.5,8994.0
1500,3,5,1.5,8988.461538461539
1500,3,10,1.5,8973.91304347826
1500,3,15,1.5,8959.090909090908
1500,3,30,1.5,8914.285714285712
1500,3,50,1.5,8854.368932038835
1500,3,100,1.5,8704.433497536946
1500,3,150,1.5,8554.455445544554
1500,3,500,1.5,7504.4865403788635
1500,3,1000,1.5,6004.493260109835
1500,3,1500,1.5,4509.49050949051
1500,3,5000,1.5,1563.7308807357795
1500,3,10000,1.5,931.9602059691045
1500,3,15000,1.5,721.3278672132788
1500,3,50000,1.5,426.40720778376647
1500,3,150000,1.5,342.1365786342136
500,3,1,3,2999.25
500,3,1.5,3,2998.5
500,3,3,3,2995.5
500,3,5,3,2990.625
500,3,10,3,2976.923076923077
500,3,15,3,2962.5
500,3,30,3,2918.181818181818
500,3,50,3,2858.4905660377353
500,3,100,3,2708.73786407767
500,3,150,3,2558.8235294117644
500,3,500,3,1523.8568588469184
500,3,1000,3,913.7587238285145
500,3,1500,3,709.5808383233532
500,3,5000,3,423.046172296622
500,3,10000,3,361.5415375387384
500,3,15000,3,341.03179364127175
500,3,50000,3,312.3112613243205
500,3,150000,3,304.1039179216416
1500,3,1,3,8999.25
1500,3,1.5,3,8998.5
1500,3,3,3,8995.5
1500,3,5,3,8990.625
1500,3,10,3,8976.923076923078
1500,3,15,3,8962.5
1500,3,30,3,8918.181818181818
1500,3,50,3,8858.490566037735
1500,3,100,3,8708.73786407767
1500,3,150,3,8558.823529411764
1500,3,500,3,7508.946322067595
1500,3,1000,3,6008.973080757727
1500,3,1500,3,4513.972055888224
1500,3,5000,3,1565.9604237457527
1500,3,10000,3,933.1700489853044
1500,3,15000,3,722.1555688862228
1500,3,50000,3,426.66440013599185
1500,3,150000,3,342.22315553688924
500,3,1,5.0,2999.5
500,3,1.5,5.0,2998.9615384615386
500,3,3,5.0,2996.625
500,3,5,5.0,2992.5
500,3,10,5.0,2980.0
500,3,15,5.0,2966.25
500,3,30,5.0,2922.8571428571427
500,3,50,5.0,2863.6363636363635
500,3,100,5.0,2714.2857142857138
500,3,150,5.0,2564.516129032258
500,3,500,5.0,1529.7029702970299
500,3,1000,5.0,917.910447761194
500,3,1500,5.0,712.6245847176081
500,3,5000,5.0,424.07592407592404
500,3,10000,5.0,362.0689655172414
500,3,15000,5.0,341.38620459846715
500,3,50000,5.0,312.41875812418755
500,3,150000,5.0,304.1398620045998
1500,3,1,5.0,8999.5
1500,3,1.5,5.0,8998.961538461539
1500,3,3,5.0,8996.625
1500,3,5,5.0,8992.5
1500,3,10,5.0,8980.0
1500,3,15,5.0,8966.25
1500,3,30,5.0,8922.857142857141
1500,3,50,5.0,8863.636363636364
1500,3,100,5.0,8714.285714285714
1500,3,150,5.0,8564.516129032258
1500,3,500,5.0,7514.851485148515
1500,3,1000,5.0,6014.925373134329
1500,3,1500,5.0,4519.933554817276
1500,3,5000,5.0,1568.931068931069
1500,3,10000,5.0,934.7826086956522
1500,3,15000,5.0,723.2589136954348
1500,3,50000,5.0,427.00729927007296
1500,3,150000,5.0,342.33858871370956
500,3,1,10.0,2999.7272727272725
500,3,1.5,10.0,2999.413043478261
500,3,3,10.0,2997.923076923077
500,3,5,10.0,2995.0
500,3,10,10.0,2985.0
500,3,15,10.0,2973.0
500,3,30,10.0,2932.5
500,3,50,10.0,2875.0
500,3,100,10.0,2727.272727272727
500,3,150,10.0,2578.125
500,3,500,10.0,1544.1176470588236
500,3,1000,10.0,928.2178217821782
500,3,1500,10.0,720.1986754966888
500,3,5000,10.0,426.6467065868263
500,3,10000,10.0,363.38661338661336
500,3,15000,10.0,342.271818787475
500,3,50000,10.0,312.6874625074985
500,3,150000,10.0,304.22971801879874
1500,3,1,10.0,8999.727272727272
1500,3,1.5,10.0,8999.41304347826
1500,3,3,10.0,8997.923076923078
1500,3,5,10.0,8995.0
1500,3,10,10.0,8985.0
1500,3,15,10.0,8973.0
1500,3,30,10.0,8932.5
1500,3,50,10.0,8875.0
1500,3,100,10.0,8727.272727272728
1500,3,150,10.0,8578.125
1500,3,500,10.0,7529.411764705882
1500,3,1000,10.0,6029.702970297029
1500,3,1500,10.0,4534.76821192053
1500,3,5000,10.0,1576.3473053892214
1500,3,10000,10.0,938.8111888111888
1500,3,15000,10.0,726.0159893404398
1500,3,50000,10.0,427.8644271145771
1500,3,150000,10.0,342.627158189454
500,3,1,15,2999.8125
500,3,1.5,15,2999.590909090909
500,3,3,15,2998.5
500,3,5,15,2996.25
500,3,10,15,2988.0
500,3,15,15,2977.5
500,3,30,15,2940.0
500,3,50,15,2884.6153846153848
500,3,100,15,2739.130434782609
500,3,150,15,2590.909090909091
500,3,500,15,1558.2524271844661
500,3,1000,15,938.423645320197
500,3,1500,15,727.7227722772277
500,3,5000,15,429.2123629112662
500,3,10000,15,364.70294558162755
500,3,15000,15,343.15684315684314
500,3,50000,15,312.9561131660502
500,3,150000,15,304.31956804319566
1500,3,1,15,8999.8125
1500,3,1.5,15,8999.590909090908
1500,3,3,15,8998.5
1500,3,5,15,8996.25
1500,3,10,15,8988.0
1500,3,15,15,8977.5
1500,3,30,15,8940.0
1500,3,50,15,8884.615384615387
1500,3,100,15,8739.130434782608
1500,3,150,15,8590.90909090909
1500,3,500,15,7543.68932038835
1500,3,1000,15,6044.334975369458
1500,3,1500,15,4549.504950495049
1500,3,5000,15,1583.7487537387835
1500,3,10000,15,942.8357463804293
1500,3,15000,15,728.7712287712288
1500,3,50000,15,428.7213835849245
1500,3,150000,15,342.9157084291571
500,3,1,30,2999.9032258064517
500,3,1.5,30,2999.7857142857138
500,3,3,30,2999.181818181818
500,3,5,30,2997.8571428571427
500,3,10,30,2992.5
500,3,15,30,2985.0
500,3,30,30,2955.0
500,3,50,30,2906.25
500,3,100,30,2769.2307692307695
500,3,150,30,2625.0
500,3,500,30,1599.056603773585
500,3,1000,30,968.4466019417475
500,3,1500,30,750.0
500,3,5000,30,436.87872763419483
500,3,10000,30,368.6440677966102
