lifetime, velocity, clife, cof,sep, fripscore
500.0,1,1.0,0.1,100,0.44610415
500.0,1,1.0,0.2,100,0.02642442
500.0,1,1.0,0.3,100,0.01804723
500.0,1,1.0,0.5,100,0.01345743
500.0,1,1.0,0.75,100,0.01277768
500.0,1,1.0,1.0,100,0.012446
500.0,1,1.0,1.25,100,0.01122292
500.0,1,1.0,1.5,100,0.01091149
500.0,1,1.0,10.0,100,0.00995922
500.0,1,1.0,100000.0,100,0.00914394
500.0,1,1.0,15.0,100,0.00958552
500.0,1,1.0,150.0,100,0.00975572
500.0,1,1.0,1500.0,100,0.01023075
500.0,1,1.0,15000.0,100,0.00999432
500.0,1,1.0,150000.0,100,0.00975006
500.0,1,1.0,3.0,100,0.01019509
500.0,1,1.0,30.0,100,0.01028233
500.0,1,1.0,5.0,100,0.00928818
500.0,1,1.0,50.0,100,0.0100411
500.0,1,1.0,500.0,100,0.01059511
500.0,1,1.0,5000.0,100,0.00948995
500.0,1,1.0,50000.0,100,0.01142863
500.0,1,1.0,500000.0,100,0.00997104
500.0,1,1.5,1.0,100,0.01294013
500.0,1,1.5,1.5,100,0.01234889
500.0,1,1.5,100000.0,100,0.00972295
500.0,1,1.5,15.0,100,0.00969555
500.0,1,1.5,150.0,100,0.00995665
500.0,1,1.5,1500.0,100,0.00989893
500.0,1,1.5,15000.0,100,0.00982799
500.0,1,1.5,150000.0,100,0.00934019
500.0,1,1.5,3.0,100,0.01113426
500.0,1,1.5,5.0,100,0.01038038
500.0,1,1.5,50.0,100,0.00870135
500.0,1,1.5,500.0,100,0.01039963
500.0,1,1.5,5000.0,100,0.00918443
500.0,1,1.5,50000.0,100,0.00909942
500.0,1,1.5,500000.0,100,0.00891951
500.0,1,10.0,0.1,100,0.44049771
500.0,1,10.0,0.2,100,0.13715508
500.0,1,10.0,0.3,100,0.08662755
500.0,1,10.0,0.5,100,0.05827115
500.0,1,10.0,0.75,100,0.04294171
500.0,1,10.0,1.0,100,0.03786673
500.0,1,10.0,1.25,100,0.03428469
500.0,1,10.0,1.5,100,0.03271505
500.0,1,10.0,10.0,100,0.01871613
500.0,1,10.0,15.0,100,0.01761446
500.0,1,10.0,150.0,100,0.01017205
500.0,1,10.0,3.0,100,0.02601345
500.0,1,10.0,30.0,100,0.01327886
500.0,1,10.0,50.0,100,0.01233211
500.0,1,100.0,0.1,100,0.44365964
500.0,1,100.0,0.2,100,0.35731438
500.0,1,100.0,0.3,100,0.31435469
500.0,1,100.0,0.5,100,0.25937606
500.0,1,100.0,0.75,100,0.21596299
500.0,1,100.0,1.0,100,0.19913286
500.0,1,100.0,1.25,100,0.18601284
500.0,1,100.0,1.5,100,0.17663698
500.0,1,100.0,10.0,100,0.12574726
500.0,1,100.0,15.0,100,0.11520708
500.0,1,100.0,150.0,100,0.05958482
500.0,1,100.0,3.0,100,0.14818888
500.0,1,100.0,30.0,100,0.1008578
500.0,1,100.0,50.0,100,0.08928363
500.0,1,100000.0,1.0,100,0.45105415
500.0,1,100000.0,1.5,100,0.43894682
500.0,1,100000.0,100000.0,100,0.26796202
500.0,1,100000.0,15.0,100,0.45262229
500.0,1,100000.0,150.0,100,0.4450885
500.0,1,100000.0,1500.0,100,0.44147745
500.0,1,100000.0,15000.0,100,0.41402523
500.0,1,100000.0,150000.0,100,0.23504927
500.0,1,100000.0,3.0,100,0.4415968
500.0,1,100000.0,5.0,100,0.44267012
500.0,1,100000.0,50.0,100,0.44602418
500.0,1,100000.0,500.0,100,0.43947962
500.0,1,100000.0,5000.0,100,0.44234223
500.0,1,100000.0,50000.0,100,0.33543187
