orientation,chr_distance,peak_score,n
+-,105.0,0.9967232721341066,6
+-,114.75,1.033050649347566,8
+-,122.425,0.9837604814407421,3
+-,129.1525,0.9951952982952132,8
+-,137.89825000000002,0.9708765615589089,5
+-,164.0480425,0.9361126952181993,8
+-,183.26245525000004,0.9849604927940518,8
+-,208.24119182500004,1.156970502211087,13
+-,240.71354937250007,1.0110226513224176,12
+-,282.9276141842501,0.9936389234564352,11
+-,337.8058984395251,1.1340558929934275,14
+-,409.1476679713826,1.032052854980777,19
+-,501.8919683627974,1.1152766658766426,14
+-,622.4595588716368,1.109007751991961,41
+-,779.1974265331277,1.0283961566376896,39
+-,982.956654493066,1.0286662980606063,60
+-,1247.843650840986,1.015013679228754,68
+-,1592.1967460932817,1.067595657498942,78
+-,2039.855769921266,1.0320304388571178,89
+-,2621.812500897646,1.0426727318675568,129
+-,3378.35625116694,1.0099110466711823,106
+-,4361.8631265170225,0.9906379568057397,109
+-,5640.42206447213,0.9944650837593998,68
+-,7302.548683813768,1.0003077664048643,1
-+,95.0,0.9341126298382099,11
-+,122.425,1.0012521583733045,3
-+,137.89825000000002,0.9965165866907524,2
-+,164.0480425,1.0175242562945592,10
-+,183.26245525000004,1.0550122494049714,9
-+,208.24119182500004,1.040952216029948,15
-+,240.71354937250007,1.0956879565051958,10
-+,282.9276141842501,1.0612148306025841,7
-+,337.8058984395251,1.0419938896524923,11
-+,409.1476679713826,1.034702749718003,19
-+,501.8919683627974,1.0686367925181326,29
-+,622.4595588716368,1.1306217603731472,36
-+,779.1974265331277,1.0626235661327825,44
-+,982.956654493066,1.102295615932432,44
-+,1247.843650840986,1.0499167314325137,69
-+,1592.1967460932817,1.0278736749558968,80
-+,2039.855769921266,1.042734957546215,94
-+,2621.812500897646,1.0062427150225792,117
-+,3378.35625116694,1.0130351646229259,114
-+,4361.8631265170225,0.9906945033854789,106
-+,5640.42206447213,0.9925389394588668,61
++,105.0,0.9753936664124296,2
++,114.75,0.9586428488163714,3
++,122.425,0.9725810895978334,3
++,137.89825000000002,1.007439264195611,3
++,149.267725,1.0233017631749886,5
++,164.0480425,0.9518029200460413,5
++,183.26245525000004,0.9749592978494861,6
++,208.24119182500004,1.009219204818495,10
++,240.71354937250007,1.0041045216089486,4
++,282.9276141842501,1.101625717360042,8
++,337.8058984395251,1.1127515253349605,21
++,409.1476679713826,1.116766211605744,12
++,501.8919683627974,1.1823897389384965,34
++,622.4595588716368,1.1873807359193185,27
++,779.1974265331277,1.1124555387654511,39
++,982.956654493066,1.083124893577674,54
++,1247.843650840986,1.1924012454439765,64
++,1592.1967460932817,1.1001794745286988,84
++,2039.855769921266,1.0584320909138432,89
++,2621.812500897646,1.0707685096672093,111
++,3378.35625116694,1.002485838547727,111
++,4361.8631265170225,0.97910355469304,98
++,5640.42206447213,0.9930835690167396,55
++,7302.548683813768,0.9998171281973498,2
--,95.0,0.9717124410380908,3
--,114.75,0.935560945298289,8
--,122.425,1.0430211060925922,3
--,137.89825000000002,1.0086377586935078,8
--,208.24119182500004,0.9916223333790651,3
--,240.71354937250007,1.001495646981117,5
--,282.9276141842501,1.004295766557346,14
--,337.8058984395251,0.9695615959890196,26
--,409.1476679713826,1.0472722197396107,29
--,501.8919683627974,1.0572571554662025,23
--,622.4595588716368,1.069355611301468,33
--,779.1974265331277,1.0068876485201461,42
--,982.956654493066,1.0055616482046363,44
--,1247.843650840986,1.005840258635718,60
--,1592.1967460932817,1.0032235870703274,72
--,2039.855769921266,1.0246648614960083,98
--,2621.812500897646,1.0340611995934057,154
--,3378.35625116694,1.005805542070203,103
--,4361.8631265170225,0.9923232458012182,96
--,5640.42206447213,0.9989687009034082,89
all,95.0,0.9469004959497618,14
all,105.0,1.0070893806517203,8
all,114.75,0.997765532589074,19
all,122.425,1.0271497049365694,12
all,129.1525,0.9951952982952132,8
all,137.89825000000002,1.0008664575597999,18
all,149.267725,1.0233017631749886,5
all,164.0480425,0.9468384832915566,23
all,183.26245525000004,1.0145416069672382,23
all,208.24119182500004,1.1040102574975765,41
all,240.71354937250007,1.0636855123710047,31
all,282.9276141842501,1.077699298056872,40
all,337.8058984395251,1.1016924177188707,72
all,409.1476679713826,1.0898173421677844,79
all,501.8919683627974,1.1721354680572627,100
all,622.4595588716368,1.1770679491071738,137
all,779.1974265331277,1.0734949918791663,164
all,982.956654493066,1.0732344290515299,202
all,1247.843650840986,1.0900088634913911,261
all,1592.1967460932817,1.0712127625470438,314
all,2039.855769921266,1.0546220750817472,370
all,2621.812500897646,1.0523571393650681,511
all,3378.35625116694,1.0127775301047754,434
all,4361.8631265170225,0.9781975882682248,409
all,5640.42206447213,0.9877595158444233,273
all,7302.548683813768,1.000122915748398,3
