orientation,chr_distance,peak_score
+-,114.75,1.080794428041299
+-,122.425,1.082778605459959
+-,129.1525,1.3018044425146842
+-,137.89825000000002,1.11977106725669
+-,164.0480425,1.619204669745381
+-,183.26245525000004,1.5199617030872767
+-,208.24119182500004,1.4325146474605934
+-,240.71354937250007,1.525301293396369
+-,282.9276141842501,1.1462135698018738
+-,337.8058984395251,1.642082385720634
+-,409.1476679713826,1.493326902784931
+-,501.8919683627974,1.8100899550625704
+-,622.4595588716368,1.6938641451371126
+-,779.1974265331277,1.708744800991468
+-,982.956654493066,1.8014613050842563
+-,1247.843650840986,1.709375430307384
+-,1592.1967460932817,1.5329706586358236
+-,2039.855769921266,1.2935911466374859
+-,2621.812500897646,1.1560948520875187
+-,3378.35625116694,1.027102878879823
+-,4361.8631265170225,0.9685065875584209
+-,5640.42206447213,0.959076879045407
+-,7302.548683813768,0.994963471976555
-+,105.0,0.9675732322059823
-+,114.75,1.1510235888782718
-+,122.425,1.2460140628000107
-+,129.1525,1.352202008432442
-+,137.89825000000002,1.4295531920374234
-+,149.267725,1.10821255822213
-+,164.0480425,1.1955580025238832
-+,183.26245525000004,1.2402541653592305
-+,208.24119182500004,1.445613209072948
-+,240.71354937250007,1.153981615384323
-+,282.9276141842501,1.2049367166366116
-+,337.8058984395251,1.4619116034015094
-+,409.1476679713826,1.4131450958909848
-+,501.8919683627974,1.7586361233417653
-+,622.4595588716368,1.8874080694957234
-+,779.1974265331277,1.767948745664288
-+,982.956654493066,1.6347773508949701
-+,1247.843650840986,1.6625794971389176
-+,1592.1967460932817,1.4856763004221027
-+,2039.855769921266,1.2629107135081736
-+,2621.812500897646,1.1625136736205235
-+,3378.35625116694,1.0351637072017958
-+,4361.8631265170225,0.973072703813957
-+,5640.42206447213,0.9668862177684895
-+,7302.548683813768,0.9985076300990179
++,105.0,1.2255567895475692
++,114.75,1.2535716953633387
++,122.425,1.2995439795232961
++,137.89825000000002,1.1711159215452485
++,164.0480425,1.0657399892282569
++,183.26245525000004,1.3326979502374199
++,208.24119182500004,1.2722402391222178
++,240.71354937250007,1.1444522884700894
++,282.9276141842501,1.6681159617860462
++,337.8058984395251,1.6169055884060946
++,409.1476679713826,1.9409307737006913
++,501.8919683627974,1.6346452031015355
++,622.4595588716368,1.8153372546769528
++,779.1974265331277,1.8547282795230753
++,982.956654493066,1.7691789620649652
++,1247.843650840986,1.6503309742845147
++,1592.1967460932817,1.5358396535257826
++,2039.855769921266,1.294827233342863
++,2621.812500897646,1.1368376013293446
++,3378.35625116694,1.0104148874810612
++,4361.8631265170225,0.9602703839356969
++,5640.42206447213,0.960402858858231
++,7302.548683813768,0.9947260436864014
--,114.75,1.163275760009936
--,137.89825000000002,1.2272998120147196
--,149.267725,1.1042507730235551
--,164.0480425,1.2475054673629546
--,183.26245525000004,1.5002809230284897
--,208.24119182500004,1.5455440411514396
--,240.71354937250007,1.3283819381621955
--,282.9276141842501,1.3876724267368195
--,337.8058984395251,1.6254638749563022
--,409.1476679713826,1.788994358434528
--,501.8919683627974,1.4683586561203896
--,622.4595588716368,1.5270420417424164
--,779.1974265331277,1.5757428537048108
--,982.956654493066,1.5786758332863613
--,1247.843650840986,1.5751223978595168
--,1592.1967460932817,1.4095179912923077
--,2039.855769921266,1.3490744922127633
--,2621.812500897646,1.1942671420412523
--,3378.35625116694,1.0452360611175144
--,4361.8631265170225,0.9879963600501356
--,5640.42206447213,0.9577429906618947
--,7302.548683813768,0.9992838027281404
all,105.0,1.1573079058242264
all,114.75,1.3551861720965188
all,122.425,1.4155973447130121
all,129.1525,1.5104472562665012
all,137.89825000000002,1.514073245576376
all,149.267725,1.1809397111312672
all,164.0480425,1.5769948183877096
all,183.26245525000004,1.8221450408294577
all,208.24119182500004,1.7470256652478091
all,240.71354937250007,1.5860017765756032
all,282.9276141842501,1.7024502996129185
all,337.8058984395251,1.8582417446774555
all,409.1476679713826,1.9859209234897515
all,501.8919683627974,1.9428900896674863
all,622.4595588716368,1.9153878432651466
all,779.1974265331277,1.9075518524597244
all,982.956654493066,1.9041587406502112
all,1247.843650840986,1.8164850560178936
all,1592.1967460932817,1.6204626265172515
all,2039.855769921266,1.3835656849963465
all,2621.812500897646,1.2083770911097347
all,3378.35625116694,1.0418237440691076
all,4361.8631265170225,0.9546714376740048
all,5640.42206447213,0.9178196323090639
all,7302.548683813768,0.9880752273738377
