orientation,chr_distance,peak_score,n
+-,104.75,1.2010781728654292,6
+-,112.425,1.2422674109809586,8
+-,119.1525,1.068605361182248,3
+-,127.89825,1.1791538226803833,8
+-,139.267725,1.0599673780481607,5
+-,154.0480425,1.0435882429309826,2
+-,173.26245525000004,1.0935584606146402,14
+-,198.24119182500004,1.2043419588454651,5
+-,230.71354937250007,1.1772297287614115,17
+-,272.9276141842501,1.1121097953594323,14
+-,327.8058984395251,1.1339438605037515,11
+-,399.1476679713826,1.1325002711894032,22
+-,491.8919683627974,1.1038328231394885,14
+-,612.4595588716368,1.2817815626121187,38
+-,769.1974265331277,1.1418384349026223,42
+-,972.956654493066,1.1560124076436042,58
+-,1237.843650840986,1.151093962845118,63
+-,1582.1967460932817,1.1061800383098719,79
+-,2029.855769921266,1.0345373986313917,91
+-,2611.812500897646,1.0048213454329953,130
+-,3368.35625116694,0.9902106864643833,108
+-,4351.8631265170225,0.9814910122770716,107
+-,5630.42206447213,0.9890714908818398,71
+-,7292.548683813768,0.9998983826937999,1
-+,95.0,1.0932633560374017,11
-+,119.1525,1.0394699623981902,3
-+,139.267725,1.1689124241256916,2
-+,154.0480425,1.1839283779809218,5
-+,173.26245525000004,1.343823064842482,11
-+,198.24119182500004,1.1706412571947111,18
-+,230.71354937250007,1.017351458797373,3
-+,272.9276141842501,1.210418146867884,11
-+,327.8058984395251,1.2373485912993676,14
-+,399.1476679713826,1.1479047427239542,17
-+,491.8919683627974,1.2978538902080152,28
-+,612.4595588716368,1.3550777464216843,37
-+,769.1974265331277,1.1315447638364071,39
-+,972.956654493066,1.2542336750474636,49
-+,1237.843650840986,1.2190851514754875,69
-+,1582.1967460932817,1.0914768958414869,82
-+,2029.855769921266,1.060841370134487,91
-+,2611.812500897646,1.005358265906438,118
-+,3368.35625116694,0.985619765484314,116
-+,4351.8631265170225,0.9846611687092955,106
-+,5630.42206447213,0.9904686631948281,61
++,104.75,1.012784872834211,2
++,112.425,1.0630315871916949,3
++,119.1525,1.076498364376595,3
++,139.267725,1.1467527891002771,3
++,154.0480425,1.112953768716383,8
++,173.26245525000004,1.1021344535558697,5
++,198.24119182500004,1.2689242297190968,11
++,230.71354937250007,1.1456311503746974,6
++,272.9276141842501,1.314002336695233,6
++,327.8058984395251,1.2092448398232012,20
++,399.1476679713826,1.2732953058060057,15
++,491.8919683627974,1.4176600928041854,30
++,612.4595588716368,1.260788641774959,29
++,769.1974265331277,1.3365111412231032,39
++,972.956654493066,1.2559834826824092,52
++,1237.843650840986,1.3237743457746856,66
++,1582.1967460932817,1.1761831241272358,84
++,2029.855769921266,1.0530538020000342,87
++,2611.812500897646,1.0050759672041913,112
++,3368.35625116694,0.9746756429366452,113
++,4351.8631265170225,0.9765178930132,99
++,5630.42206447213,0.9893073791529184,55
++,7292.548683813768,1.0007351081885825,2
--,95.0,0.9860532958297271,3
--,112.425,1.0864150065327043,8
--,119.1525,1.0091909696779535,3
--,139.267725,1.0190612490107267,8
--,198.24119182500004,1.0146160360912957,3
--,272.9276141842501,1.188165622422527,16
--,327.8058984395251,1.1543026758571657,26
--,399.1476679713826,1.25105305346444,26
--,491.8919683627974,1.212485338882077,27
--,612.4595588716368,1.1447077045319247,33
--,769.1974265331277,1.209125855734281,44
--,972.956654493066,1.1200700045399565,44
--,1237.843650840986,1.094869915152644,58
--,1582.1967460932817,1.093185062669308,74
--,2029.855769921266,1.020423642248911,96
--,2611.812500897646,0.9916412642797561,152
--,3368.35625116694,0.9924767463055435,106
--,4351.8631265170225,0.9813411928769553,96
--,5630.42206447213,0.9893340900670878,90
all,95.0,1.0790142974583088,14
all,104.75,1.1938811340661217,8
all,112.425,1.254047753754761,19
all,119.1525,1.1284026829209561,12
all,127.89825,1.1791538226803833,8
all,139.267725,1.2042609476877524,18
all,154.0480425,1.2300407964087512,15
all,173.26245525000004,1.2974016223665565,30
all,198.24119182500004,1.3229532362015155,37
all,230.71354937250007,1.224319370588874,26
all,272.9276141842501,1.347870376329379,47
all,327.8058984395251,1.2891350166549924,71
all,399.1476679713826,1.3114288200283495,80
all,491.8919683627974,1.4223665322326113,99
all,612.4595588716368,1.3705671804334287,137
all,769.1974265331277,1.2859253110837074,164
all,972.956654493066,1.27539753595127,203
all,1237.843650840986,1.283540342143261,256
all,1582.1967460932817,1.1680523532961393,319
all,2029.855769921266,1.0616845752228476,365
all,2611.812500897646,1.0021373068887642,512
all,3368.35625116694,0.9736808846657001,443
all,4351.8631265170225,0.9591350775700486,408
all,5630.42206447213,0.9707702050251791,277
all,7292.548683813768,1.0006319560229973,3
