orientation,chr_distance,peak_score,n
+-,105.0,0.9501829761650782,6
+-,114.75,0.9859070556933763,8
+-,122.425,1.0062728033768251,3
+-,129.1525,1.0204469680368564,8
+-,137.89825000000002,1.009129539583374,5
+-,164.0480425,0.9792424708565493,8
+-,183.26245525000004,0.9829212511634083,8
+-,208.24119182500004,1.0104345849314527,13
+-,240.71354937250007,1.0069757717421957,12
+-,282.9276141842501,1.0079039067277114,11
+-,337.8058984395251,1.0040723388576034,14
+-,409.1476679713826,1.0205837271464595,19
+-,501.8919683627974,1.0055757943181507,14
+-,622.4595588716368,1.0072116394461634,41
+-,779.1974265331277,1.0046051379555703,39
+-,982.956654493066,1.0025078840850379,60
+-,1247.843650840986,0.9996241355300357,68
+-,1592.1967460932817,1.0024234469273399,78
+-,2039.855769921266,0.9930593493215234,89
+-,2621.812500897646,1.0038405030387922,129
+-,3378.35625116694,0.9980766692776728,106
+-,4361.8631265170225,0.9976583286653803,109
+-,5640.42206447213,1.0006088897622731,68
+-,7302.548683813768,0.999790105951719,1
-+,95.0,0.9678524919538951,11
-+,122.425,0.9737569996360207,3
-+,137.89825000000002,0.9995634450367591,2
-+,164.0480425,1.028741018601739,10
-+,183.26245525000004,1.0237334109153702,9
-+,208.24119182500004,1.0439611165490772,15
-+,240.71354937250007,1.0211655468060117,10
-+,282.9276141842501,1.0188897226492446,7
-+,337.8058984395251,1.0375793557295123,11
-+,409.1476679713826,1.011924726732231,19
-+,501.8919683627974,1.0342876242693146,29
-+,622.4595588716368,1.0175614532630588,36
-+,779.1974265331277,1.0046126943525948,44
-+,982.956654493066,0.9904354628049532,44
-+,1247.843650840986,0.9986127481473148,69
-+,1592.1967460932817,1.0099587536543155,80
-+,2039.855769921266,0.9943996239233132,94
-+,2621.812500897646,0.9947532524235225,117
-+,3378.35625116694,0.9955264585351675,114
-+,4361.8631265170225,0.9994339392482627,106
-+,5640.42206447213,0.996439203187013,61
++,105.0,0.9508159992558747,2
++,114.75,0.9803439503382863,3
++,122.425,0.9889948689358681,3
++,137.89825000000002,1.0186726872591336,3
++,149.267725,1.0015621453748582,5
++,164.0480425,1.0287796115754604,5
++,183.26245525000004,1.0027619543589958,6
++,208.24119182500004,0.9990285954656489,10
++,240.71354937250007,1.01577093149241,4
++,282.9276141842501,1.0056995868637988,8
++,337.8058984395251,1.031668542177858,21
++,409.1476679713826,1.0127323434358415,12
++,501.8919683627974,1.0007292804611843,34
++,622.4595588716368,1.0046380434817075,27
++,779.1974265331277,1.0134185023762694,39
++,982.956654493066,1.001610014844816,54
++,1247.843650840986,1.0011714844224464,64
++,1592.1967460932817,1.0067856873086054,84
++,2039.855769921266,0.994350928732802,89
++,2621.812500897646,1.0056065693765786,111
++,3378.35625116694,0.9976790509089993,111
++,4361.8631265170225,0.9983786560827741,98
++,5640.42206447213,0.9993209278275472,55
++,7302.548683813768,1.0003124840687725,2
--,95.0,0.9743792645509431,3
--,114.75,0.9818814042968018,8
--,122.425,0.9981718593646546,3
--,137.89825000000002,0.9839418142692092,8
--,208.24119182500004,1.001450404796934,3
--,240.71354937250007,1.0090205770521763,5
--,282.9276141842501,1.0270717072537399,14
--,337.8058984395251,1.0466508155811747,26
--,409.1476679713826,1.0381533714227693,29
--,501.8919683627974,1.0141436406818904,23
--,622.4595588716368,1.0238405670809183,33
--,779.1974265331277,1.0031828606986957,42
--,982.956654493066,0.9977002397159628,44
--,1247.843650840986,1.004834625348187,60
--,1592.1967460932817,1.0028394322698528,72
--,2039.855769921266,1.001050092555351,98
--,2621.812500897646,1.0049176348793716,154
--,3378.35625116694,0.999122556466596,103
--,4361.8631265170225,1.0014202441220945,96
--,5640.42206447213,1.0028833429081994,89
all,95.0,0.9747649108749464,14
all,105.0,0.9457440014089389,8
all,114.75,0.9976996988630358,19
all,122.425,1.0057481794432823,12
all,129.1525,1.0204469680368564,8
all,137.89825000000002,1.0160604770290078,18
all,149.267725,1.0015621453748582,5
all,164.0480425,1.0255506601067945,23
all,183.26245525000004,1.0125028446702506,23
all,208.24119182500004,1.0339005380140236,41
all,240.71354937250007,1.0311402082801693,31
all,282.9276141842501,1.033453007268908,40
all,337.8058984395251,1.0557181307775023,72
all,409.1476679713826,1.0411771436064843,79
all,501.8919683627974,1.0262437494932388,100
all,622.4595588716368,1.024783991958961,137
all,779.1974265331277,1.0129700879201555,164
all,982.956654493066,0.9975574725270893,202
all,1247.843650840986,1.002983439449826,261
all,1592.1967460932817,1.011913039463431,314
all,2039.855769921266,0.9905756371879136,370
all,2621.812500897646,1.0054251100934788,511
all,3378.35625116694,0.9936067180478385,434
all,4361.8631265170225,0.9976889604567284,409
all,5640.42206447213,0.9994645322193241,273
all,7302.548683813768,1.0001029046807908,3
