orientation,chr_distance,peak_score,n
+-,105.0,0.9882606609459447,6
+-,114.75,1.0774104495184975,8
+-,122.425,1.0817523760012593,3
+-,129.1525,1.1440966940937556,8
+-,137.89825000000002,1.0565555999035945,5
+-,164.0480425,0.9795026817934926,8
+-,183.26245525000004,1.0377186576103044,8
+-,208.24119182500004,1.079014895712395,13
+-,240.71354937250007,1.0530345946864388,12
+-,282.9276141842501,0.9963176458010665,11
+-,337.8058984395251,1.007293951234799,14
+-,409.1476679713826,1.0422102127222992,19
+-,501.8919683627974,1.0220492322419437,14
+-,622.4595588716368,1.019380542815133,41
+-,779.1974265331277,1.0238709488141515,39
+-,982.956654493066,0.9984918555921503,60
+-,1247.843650840986,0.9915889285964803,68
+-,1592.1967460932817,0.9909184801831624,78
+-,2039.855769921266,0.9965008704821451,89
+-,2621.812500897646,0.9907182698650535,129
+-,3378.35625116694,0.9907660579785397,106
+-,4361.8631265170225,0.9993472956038595,109
+-,5640.42206447213,1.0036944813992377,68
+-,7302.548683813768,0.999947746181996,1
-+,122.425,1.0115997842439974,3
-+,137.89825000000002,1.0071843104707965,2
-+,164.0480425,1.1434575564049825,10
-+,183.26245525000004,1.1449490663404311,9
-+,208.24119182500004,1.0944315294312954,15
-+,240.71354937250007,1.0716778927210364,10
-+,282.9276141842501,1.0678553812919842,7
-+,337.8058984395251,1.0648667168056984,11
-+,409.1476679713826,1.040837047583774,19
-+,501.8919683627974,1.0647241936259575,29
-+,622.4595588716368,1.0468138839993764,36
-+,779.1974265331277,1.0106137121038692,44
-+,982.956654493066,1.002905273163581,44
-+,1247.843650840986,1.0102350811423395,69
-+,1592.1967460932817,0.9964754555084718,80
-+,2039.855769921266,0.9985141284962784,94
-+,2621.812500897646,0.9920919778211702,117
-+,3378.35625116694,0.9972706027205975,114
-+,4361.8631265170225,0.9963482948373199,106
-+,5640.42206447213,0.9976543666931033,61
++,105.0,0.9627581590153997,2
++,114.75,1.0266354695111655,3
++,122.425,1.0217436616900222,3
++,137.89825000000002,1.0676339416783764,3
++,149.267725,1.057030637342859,5
++,164.0480425,1.037762847862785,5
++,183.26245525000004,1.0368620964423945,6
++,208.24119182500004,1.0314419069382044,10
++,240.71354937250007,1.0591047365646113,4
++,282.9276141842501,1.0201298909785483,8
++,337.8058984395251,1.1100930089207863,21
++,409.1476679713826,1.072099960525203,12
++,501.8919683627974,1.033316903199414,34
++,622.4595588716368,1.0266904348957169,27
++,779.1974265331277,1.0328770839388228,39
++,982.956654493066,1.0030356387000716,54
++,1247.843650840986,1.004438603677735,64
++,1592.1967460932817,0.9818691018652507,84
++,2039.855769921266,0.9941845303474874,89
++,2621.812500897646,0.9902052021991714,111
++,3378.35625116694,0.9961537955587593,111
++,4361.8631265170225,0.993382878582938,98
++,5640.42206447213,0.9992147099344829,55
++,7302.548683813768,0.9998835081711266,2
--,114.75,1.070490443733387,8
--,122.425,0.9742169454167736,3
--,137.89825000000002,1.0053274753949952,8
--,208.24119182500004,1.0289381520875087,3
--,240.71354937250007,1.0712242728682624,5
--,282.9276141842501,1.0888224936008666,14
--,337.8058984395251,1.0469633237464848,26
--,409.1476679713826,1.0735696163703798,29
--,501.8919683627974,1.034432243397612,23
--,622.4595588716368,1.0476341818078854,33
--,779.1974265331277,1.022112293113331,42
--,982.956654493066,1.003911685134126,44
--,1247.843650840986,0.9942330179846366,60
--,1592.1967460932817,0.9931866255431789,72
--,2039.855769921266,0.9894804940451676,98
--,2621.812500897646,0.9966018836334979,154
--,3378.35625116694,0.9958488122489375,103
--,4361.8631265170225,0.9985402838573101,96
--,5640.42206447213,0.9995829361522878,89
all,105.0,0.9869411826829073,8
all,114.75,1.1267478882742399,19
all,122.425,1.077524198778688,12
all,129.1525,1.1440966940937556,8
all,137.89825000000002,1.0836198929339993,18
all,149.267725,1.057030637342859,5
all,164.0480425,1.0991042186680307,23
all,183.26245525000004,1.1366530672768016,23
all,208.24119182500004,1.1167188647858552,41
all,240.71354937250007,1.13217883804694,31
all,282.9276141842501,1.0893448846804163,40
all,337.8058984395251,1.1028110861762601,72
all,409.1476679713826,1.104000015179209,79
all,501.8919683627974,1.072995815668632,100
all,622.4595588716368,1.063684743924859,137
all,779.1974265331277,1.0428501249325297,164
all,982.956654493066,1.0049097793163517,202
all,1247.843650840986,1.0009229582976256,261
all,1592.1967460932817,0.9798479529691896,314
all,2039.855769921266,0.9877637682239588,370
all,2621.812500897646,0.9825227559810651,511
all,3378.35625116694,0.985882206976393,434
all,4361.8631265170225,0.990138435525465,409
all,5640.42206447213,1.0001352559855465,273
all,7302.548683813768,0.999831351541567,3
