orientation,chr_distance,peak_score,n
+-,105.0,0.891431531141868,6
+-,114.75,0.9516062692329554,8
+-,122.425,1.0102374979333455,3
+-,129.1525,1.0414557220548073,8
+-,137.89825000000002,1.0430020755909244,5
+-,164.0480425,1.0761415330404802,8
+-,183.26245525000004,1.0235258303936077,8
+-,208.24119182500004,1.0025240107970081,13
+-,240.71354937250007,0.9930357682609259,12
+-,282.9276141842501,1.0166857899159776,11
+-,337.8058984395251,0.9588969073319835,14
+-,409.1476679713826,1.2932172068876144,19
+-,501.8919683627974,0.9997087613906438,14
+-,622.4595588716368,1.019560998185473,41
+-,779.1974265331277,0.9812396043338507,39
+-,982.956654493066,0.97249232099538,60
+-,1247.843650840986,1.0157923932293627,68
+-,1592.1967460932817,1.0255227926492925,78
+-,2039.855769921266,1.0279437665012061,89
+-,2621.812500897646,1.0030345361873598,129
+-,3378.35625116694,1.0067959505567927,106
+-,4361.8631265170225,0.9922201919474748,109
+-,5640.42206447213,0.9935777063680384,68
+-,7302.548683813768,0.9998427834293708,1
-+,122.425,0.949431210756494,3
-+,137.89825000000002,0.9784305281590364,2
-+,164.0480425,1.0421414272470773,10
-+,183.26245525000004,0.9984062599203546,9
-+,208.24119182500004,1.0626787035619056,15
-+,240.71354937250007,0.9497391526969843,10
-+,282.9276141842501,1.0399682074306742,7
-+,337.8058984395251,0.9747958516505635,11
-+,409.1476679713826,1.0250883685425132,19
-+,501.8919683627974,1.1030262506759696,29
-+,622.4595588716368,0.9619756164137083,36
-+,779.1974265331277,1.0245530663954154,44
-+,982.956654493066,1.024794478358953,44
-+,1247.843650840986,1.0441475189777576,69
-+,1592.1967460932817,1.0141798250383802,80
-+,2039.855769921266,1.0557031486213582,94
-+,2621.812500897646,0.9885308780084446,117
-+,3378.35625116694,0.9998471984729638,114
-+,4361.8631265170225,0.9874810088840199,106
-+,5640.42206447213,1.0000581062268465,61
++,105.0,0.9328690768055812,2
++,114.75,0.9629006592437951,3
++,122.425,0.9691975484378172,3
++,137.89825000000002,0.9514878855930244,3
++,149.267725,0.980784580059529,5
++,164.0480425,1.008235050905412,5
++,183.26245525000004,1.0030097313709219,6
++,208.24119182500004,1.0805581998859133,10
++,240.71354937250007,1.0024806970877456,4
++,282.9276141842501,0.9770762878923369,8
++,337.8058984395251,1.1295833819613152,21
++,409.1476679713826,1.0119633750152586,12
++,501.8919683627974,1.012506178043502,34
++,622.4595588716368,1.0186530929249686,27
++,779.1974265331277,1.1065354058351669,39
++,982.956654493066,1.0058028453884802,54
++,1247.843650840986,1.08389367232396,64
++,1592.1967460932817,1.0476235379529073,84
++,2039.855769921266,1.0624074003652222,89
++,2621.812500897646,1.0249961825531861,111
++,3378.35625116694,0.9952649791319074,111
++,4361.8631265170225,0.9941625452586672,98
++,5640.42206447213,0.9889301329521321,55
++,7302.548683813768,0.9998097206585166,2
--,114.75,0.9265794235100815,8
--,122.425,0.9631584047960827,3
--,137.89825000000002,0.931151866297562,8
--,208.24119182500004,0.958906727227917,3
--,240.71354937250007,1.0168011561000976,5
--,282.9276141842501,1.0416920558315168,14
--,337.8058984395251,1.0874889715978209,26
--,409.1476679713826,0.9344277580745738,29
--,501.8919683627974,0.9413376310675782,23
--,622.4595588716368,0.9994239307580568,33
--,779.1974265331277,0.9332623805916156,42
--,982.956654493066,1.0764968296243318,44
--,1247.843650840986,1.0201720439916016,60
--,1592.1967460932817,0.9983547294641786,72
--,2039.855769921266,0.992752308072747,98
--,2621.812500897646,0.9941417659823097,154
--,3378.35625116694,0.9843561785761146,103
--,4361.8631265170225,0.9925120530767121,96
--,5640.42206447213,0.9991353065573765,89
all,105.0,0.8834908672171938,8
all,114.75,0.9391999061252327,19
all,122.425,0.9575635158904818,12
all,129.1525,1.0414557220548073,8
all,137.89825000000002,0.9495839273530569,18
all,149.267725,0.980784580059529,5
all,164.0480425,1.0837423504177268,23
all,183.26245525000004,1.016428517002591,23
all,208.24119182500004,1.0601230863683961,41
all,240.71354937250007,0.9759036537592034,31
all,282.9276141842501,1.0383883576767978,40
all,337.8058984395251,1.0688836352466395,72
all,409.1476679713826,1.0991251621547775,79
all,501.8919683627974,1.0273174691495317,100
all,622.4595588716368,0.9992958006469643,137
all,779.1974265331277,1.0156870620168776,164
all,982.956654493066,1.0239628523824271,202
all,1247.843650840986,1.057381602110996,261
all,1592.1967460932817,1.0306793507422558,314
all,2039.855769921266,1.0483569803382156,370
all,2621.812500897646,1.0029910351953624,511
all,3378.35625116694,0.9945884687840774,434
all,4361.8631265170225,0.984354115669008,409
all,5640.42206447213,0.9894180775363578,273
all,7302.548683813768,0.9996541877490814,3
