orientation,chr_distance,peak_score
+-,114.75,1.155057173489209
+-,122.425,1.070311814552211
+-,129.1525,1.2983519675092667
+-,137.89825000000002,1.1259124667429445
+-,164.0480425,1.5724404761864115
+-,183.26245525000004,1.3942029880482953
+-,208.24119182500004,1.3862957657860806
+-,240.71354937250007,1.5788785129163014
+-,282.9276141842501,1.288612490702773
+-,337.8058984395251,1.659165831687644
+-,409.1476679713826,1.5272355554827797
+-,501.8919683627974,1.843504332011089
+-,622.4595588716368,1.6861160426494273
+-,779.1974265331277,1.7861654159210434
+-,982.956654493066,1.8569523069622278
+-,1247.843650840986,1.6422494849534166
+-,1592.1967460932817,1.5033897725751593
+-,2039.855769921266,1.3359450329002627
+-,2621.812500897646,1.1666545036512999
+-,3378.35625116694,1.0179953720116661
+-,4361.8631265170225,0.9519796833678231
+-,5640.42206447213,0.9567110087261654
+-,7302.548683813768,0.9956899597243098
-+,105.0,0.9872082078629141
-+,114.75,1.1257637599930328
-+,122.425,1.1788585246605192
-+,129.1525,1.3073719365614507
-+,137.89825000000002,1.3041069244444956
-+,149.267725,1.1080064142937105
-+,164.0480425,1.1376434590289919
-+,183.26245525000004,1.2392334785661225
-+,208.24119182500004,1.520295276433389
-+,240.71354937250007,1.1473342365867578
-+,282.9276141842501,1.3378197824615161
-+,337.8058984395251,1.4206112552635166
-+,409.1476679713826,1.6132127021171159
-+,501.8919683627974,1.7160364670180415
-+,622.4595588716368,1.8265913710035158
-+,779.1974265331277,1.7893003624212118
-+,982.956654493066,1.6214079152947707
-+,1247.843650840986,1.6423524650065031
-+,1592.1967460932817,1.4377857528244844
-+,2039.855769921266,1.247948037636261
-+,2621.812500897646,1.1608288592724925
-+,3378.35625116694,1.004391088366153
-+,4361.8631265170225,0.9599148421774006
-+,5640.42206447213,0.9699579189359917
-+,7302.548683813768,0.998563867169723
++,105.0,1.1754313568336203
++,114.75,1.1551800936354435
++,122.425,1.2722770559195136
++,137.89825000000002,1.173948390746769
++,164.0480425,1.174836373272857
++,183.26245525000004,1.4557788707311003
++,208.24119182500004,1.3301362110382304
++,240.71354937250007,1.2665263239790052
++,282.9276141842501,1.6699971191331542
++,337.8058984395251,1.5612396270527045
++,409.1476679713826,1.8867697684708478
++,501.8919683627974,1.8129987942696826
++,622.4595588716368,1.8727890640386788
++,779.1974265331277,1.764131058015766
++,982.956654493066,1.7857697876035097
++,1247.843650840986,1.6305231293577844
++,1592.1967460932817,1.5321326866401634
++,2039.855769921266,1.3053585683434632
++,2621.812500897646,1.1204211438234648
++,3378.35625116694,1.0064715526178687
++,4361.8631265170225,0.9510716971738321
++,5640.42206447213,0.9624068285884029
++,7302.548683813768,0.9953402305961951
--,114.75,1.0858254618841772
--,137.89825000000002,1.2389467974707253
--,149.267725,1.1232196933588035
--,164.0480425,1.279245950885486
--,183.26245525000004,1.4346139892838186
--,208.24119182500004,1.4392752887594393
--,240.71354937250007,1.3978575024856925
--,282.9276141842501,1.4305492056063605
--,337.8058984395251,1.4883681628773906
--,409.1476679713826,1.8306686006726294
--,501.8919683627974,1.5183253826874716
--,622.4595588716368,1.5695723278996931
--,779.1974265331277,1.6212551074579444
--,982.956654493066,1.695991492826438
--,1247.843650840986,1.5942884242258895
--,1592.1967460932817,1.4399524312603988
--,2039.855769921266,1.3168277466579341
--,2621.812500897646,1.149533333912633
--,3378.35625116694,1.0170051741229247
--,4361.8631265170225,0.9740044801654217
--,5640.42206447213,0.9639984870784247
--,7302.548683813768,0.9994068759257104
all,105.0,1.1370656258942842
all,114.75,1.3030740241135996
all,122.425,1.343533193369408
all,129.1525,1.4779472405525653
all,137.89825000000002,1.4488924623076136
all,149.267725,1.1970546081640707
all,164.0480425,1.5618476270270767
all,183.26245525000004,1.7942034496746806
all,208.24119182500004,1.729372698318425
all,240.71354937250007,1.6932050798020981
all,282.9276141842501,1.8108572593030898
all,337.8058984395251,1.7745473388355748
all,409.1476679713826,2.047363353441284
all,501.8919683627974,2.0354489340899438
all,622.4595588716368,1.9414529522371007
all,779.1974265331277,1.9453557439789948
all,982.956654493066,1.9567178528927713
all,1247.843650840986,1.7887897182865973
all,1592.1967460932817,1.6111237082696048
all,2039.855769921266,1.3845377664996878
all,2621.812500897646,1.192830722909192
all,3378.35625116694,1.0168929991004119
all,4361.8631265170225,0.9298563922754356
all,5640.42206447213,0.9207446155937421
all,7302.548683813768,0.9894720004799455
