orientation,chr_distance,peak_score,n
+-,105.0,1.2139226192416432,6
+-,114.75,1.4146789004236482,8
+-,122.425,1.334386927704021,3
+-,129.1525,1.7615678889670692,8
+-,137.89825000000002,1.3288313081718273,5
+-,164.0480425,1.15483754050278,8
+-,183.26245525000004,1.391474724762707,8
+-,208.24119182500004,1.5509382506822722,13
+-,240.71354937250007,1.3121508412816458,12
+-,282.9276141842501,1.331693962043635,11
+-,337.8058984395251,1.391658103231733,14
+-,409.1476679713826,1.4794911958868948,19
+-,501.8919683627974,1.2750913375157704,14
+-,622.4595588716368,1.6546537662059249,41
+-,779.1974265331277,1.399080430861179,39
+-,982.956654493066,1.4737479694313937,60
+-,1247.843650840986,1.397369069130028,68
+-,1592.1967460932817,1.1834084525742627,78
+-,2039.855769921266,1.073638665749836,89
+-,2621.812500897646,1.0147539788730864,129
+-,3378.35625116694,0.973943132400898,106
+-,4361.8631265170225,0.9782451113750554,109
+-,5640.42206447213,0.9920000123810206,68
+-,7302.548683813768,0.999723638403181,1
-+,122.425,1.1229816972547466,3
-+,137.89825000000002,1.2109066781113063,2
-+,164.0480425,1.7921806946970886,10
-+,183.26245525000004,2.052671358945826,9
-+,208.24119182500004,1.762563229673566,15
-+,240.71354937250007,1.4883020254820787,10
-+,282.9276141842501,1.6287882324304084,7
-+,337.8058984395251,1.7585160953755266,11
-+,409.1476679713826,1.4391135980394776,19
-+,501.8919683627974,1.9014962374717184,29
-+,622.4595588716368,1.827233178660749,36
-+,779.1974265331277,1.5738109998984084,44
-+,982.956654493066,1.5773687986393532,44
-+,1247.843650840986,1.4508940632772613,69
-+,1592.1967460932817,1.2952556265346584,80
-+,2039.855769921266,1.1654405603913678,94
-+,2621.812500897646,1.0431388695242352,117
-+,3378.35625116694,0.9941164531067072,114
-+,4361.8631265170225,0.9781885391769154,106
-+,5640.42206447213,0.9929388408162967,61
++,105.0,0.9766044455425595,2
++,114.75,1.1891228525862523,3
++,122.425,1.192349130944916,3
++,137.89825000000002,1.2813374254331307,3
++,149.267725,1.2169570447430935,5
++,164.0480425,1.5031096395517958,5
++,183.26245525000004,1.3178234959764803,6
++,208.24119182500004,1.3560725704385574,10
++,240.71354937250007,1.1660595480091096,4
++,282.9276141842501,1.494272494036326,8
++,337.8058984395251,1.74386259298374,21
++,409.1476679713826,1.9203055267436744,12
++,501.8919683627974,1.7138925172770278,34
++,622.4595588716368,1.6102938886732778,27
++,779.1974265331277,1.8414682686635184,39
++,982.956654493066,1.6546400391686975,54
++,1247.843650840986,1.543884050030108,64
++,1592.1967460932817,1.334524346447361,84
++,2039.855769921266,1.2024180106622517,89
++,2621.812500897646,1.061257367686821,111
++,3378.35625116694,0.9687273442666979,111
++,4361.8631265170225,0.9708349651836612,98
++,5640.42206447213,0.9945049072030254,55
++,7302.548683813768,0.9992340241099443,2
--,114.75,1.127042875996521,8
--,122.425,1.1013104888991123,3
--,137.89825000000002,1.154481951678666,8
--,208.24119182500004,1.0090593226493785,3
--,240.71354937250007,1.2061154724577738,5
--,282.9276141842501,1.7213072826414832,14
--,337.8058984395251,1.4665212619238022,26
--,409.1476679713826,1.7596186789915536,29
--,501.8919683627974,1.5650736161111176,23
--,622.4595588716368,1.6121297196745425,33
--,779.1974265331277,1.599655966437059,42
--,982.956654493066,1.3646516199904326,44
--,1247.843650840986,1.3402965649540501,60
--,1592.1967460932817,1.1492420838370865,72
--,2039.855769921266,1.0833060454562946,98
--,2621.812500897646,1.0225853620335867,154
--,3378.35625116694,0.9767178786397422,103
--,4361.8631265170225,0.9863931776272776,96
--,5640.42206447213,0.9897961700222098,89
all,105.0,1.1952045618538196,8
all,114.75,1.472006379704132,19
all,122.425,1.4865704675364002,12
all,129.1525,1.7615678889670692,8
all,137.89825000000002,1.529537944844275,18
all,149.267725,1.2169570447430935,5
all,164.0480425,1.7713642502086282,23
all,183.26245525000004,2.099555019457195,23
all,208.24119182500004,1.8468326868868827,41
all,240.71354937250007,1.6428866951629344,31
all,282.9276141842501,2.0247178087179427,40
all,337.8058984395251,1.9279949802908662,72
all,409.1476679713826,2.0029287871146746,79
all,501.8919683627974,1.998194401392308,100
all,622.4595588716368,1.9565329515225351,137
all,779.1974265331277,1.851057621730745,164
all,982.956654493066,1.7293259533605523,202
all,1247.843650840986,1.6206458714647387,261
all,1592.1967460932817,1.369820805846836,314
all,2039.855769921266,1.202030993171578,370
all,2621.812500897646,1.0601474900064258,511
all,3378.35625116694,0.9530129468849384,434
all,4361.8631265170225,0.9416328129016038,409
all,5640.42206447213,0.974586013569317,273
all,7302.548683813768,0.9989585733603099,3
