orientation,chr_distance,peak_score
+-,114.75,0.9518037710390744
+-,122.425,0.9604406428933225
+-,129.1525,1.0018202342271036
+-,137.89825000000002,0.9893678010385756
+-,164.0480425,1.0191645336194688
+-,183.26245525000004,1.0141155940219009
+-,208.24119182500004,1.0132299534509301
+-,240.71354937250007,1.031119389142661
+-,282.9276141842501,1.0085342720231205
+-,337.8058984395251,1.0427725786416504
+-,409.1476679713826,1.0210897286942904
+-,501.8919683627974,1.0393759105495983
+-,622.4595588716368,1.0612935468716336
+-,779.1974265331277,1.0624157104725869
+-,982.956654493066,1.0464238787993096
+-,1247.843650840986,1.0395390591126126
+-,1592.1967460932817,1.0264136013688592
+-,2039.855769921266,1.0142793859365913
+-,2621.812500897646,0.998717886067541
+-,3378.35625116694,1.0074825149435496
+-,4361.8631265170225,0.9933699112175961
+-,5640.42206447213,0.9955303848664611
+-,7302.548683813768,1.0002554680624487
-+,105.0,0.9116587065094265
-+,114.75,0.9398605044798883
-+,122.425,0.9641763278999398
-+,129.1525,1.0074358021718826
-+,137.89825000000002,1.000447937416411
-+,149.267725,1.0022621571177173
-+,164.0480425,1.0271582058464646
-+,183.26245525000004,1.002554246433786
-+,208.24119182500004,1.0239752329809555
-+,240.71354937250007,1.013499306372364
-+,282.9276141842501,1.0114311112559813
-+,337.8058984395251,1.0309807054156448
-+,409.1476679713826,1.0295070516657514
-+,501.8919683627974,1.0672134479977693
-+,622.4595588716368,1.0285876683923176
-+,779.1974265331277,1.0481528413735
-+,982.956654493066,1.0686155630013592
-+,1247.843650840986,1.0622878161104057
-+,1592.1967460932817,1.006298397243735
-+,2039.855769921266,1.0077330768900028
-+,2621.812500897646,1.0043740188777106
-+,3378.35625116694,0.9917970274128769
-+,4361.8631265170225,0.9956915434478373
-+,5640.42206447213,0.9963811258674986
-+,7302.548683813768,1.0001753372123636
++,105.0,0.9283183808495363
++,114.75,0.9750988627353885
++,122.425,0.9882845087981393
++,137.89825000000002,0.9590905010568258
++,164.0480425,0.9996737163765133
++,183.26245525000004,1.012329371840903
++,208.24119182500004,1.0095011469817514
++,240.71354937250007,1.018457671667427
++,282.9276141842501,1.036292270751242
++,337.8058984395251,1.0082165093013464
++,409.1476679713826,1.0364742541349814
++,501.8919683627974,1.0257003435796694
++,622.4595588716368,1.0546774287119582
++,779.1974265331277,1.0526826346056093
++,982.956654493066,1.0569835036574657
++,1247.843650840986,1.0443101640308847
++,1592.1967460932817,1.0253002714851447
++,2039.855769921266,1.0124143703525368
++,2621.812500897646,0.9960971891442394
++,3378.35625116694,1.0022358630451214
++,4361.8631265170225,0.9970597305465256
++,5640.42206447213,0.9951301138219657
++,7302.548683813768,0.9988056119674347
--,114.75,0.9524970475534716
--,137.89825000000002,1.0211729747775407
--,149.267725,1.004879663345216
--,164.0480425,1.0081453354609573
--,183.26245525000004,1.0043937448580809
--,208.24119182500004,1.0441182232373931
--,240.71354937250007,1.0231222778360625
--,282.9276141842501,1.0390684890835291
--,337.8058984395251,1.0051981797564256
--,409.1476679713826,1.0383213426217002
--,501.8919683627974,1.0647659556986995
--,622.4595588716368,1.0418330730271261
--,779.1974265331277,1.0440030181858226
--,982.956654493066,1.0354913000416885
--,1247.843650840986,1.0453112864869558
--,1592.1967460932817,1.0080959320494627
--,2039.855769921266,1.0159039420870628
--,2621.812500897646,1.006297466949748
--,3378.35625116694,0.995965224019981
--,4361.8631265170225,0.998217315532217
--,5640.42206447213,0.992344264000263
--,7302.548683813768,0.9999110437068093
all,105.0,0.9088824702048061
all,114.75,0.9547217082739744
all,122.425,0.9638370461078688
all,129.1525,1.0127344019288442
all,137.89825000000002,0.990578987962986
all,149.267725,1.0072812517239054
all,164.0480425,1.033080421890725
all,183.26245525000004,1.018714027097043
all,208.24119182500004,1.0416420902280963
all,240.71354937250007,1.0417475146044763
all,282.9276141842501,1.0464633052403902
all,337.8058984395251,1.03501732846322
all,409.1476679713826,1.0469560636812392
all,501.8919683627974,1.067933285887686
all,622.4595588716368,1.0593763402377072
all,779.1974265331277,1.068395963659151
all,982.956654493066,1.0679775914349858
all,1247.843650840986,1.0617781676953362
all,1592.1967460932817,1.0218708963404783
all,2039.855769921266,1.0169833115647902
all,2621.812500897646,1.0022696143743821
all,3378.35625116694,0.9994903997158928
all,4361.8631265170225,0.9927608558940854
all,5640.42206447213,0.9876262120690427
all,7302.548683813768,0.9991682121270817
