orientation,chr_distance,peak_score
+-,42.5,1.254708048527903
+-,66.25,1.6738567835276086
+-,80.0,2.074282854754634
+-,96.25,2.190702751893506
+-,117.5,2.7582896072640772
+-,146.25,3.138136341833898
+-,182.5,4.055124410922801
+-,230.0,2.5011926041198045
+-,292.5,3.4562250164263135
+-,372.5,4.475396939015131
+-,476.25,3.3263191337710136
+-,612.5,4.139289443326334
+-,790.0,3.6422518097861
+-,1018.75,3.6570458431621615
+-,1316.25,2.6632974323397702
+-,1705.0,2.1708817521431736
+-,2210.0,1.8025595003173358
+-,2865.0,1.2196173941670487
+-,3717.5,1.04882293056907
+-,4826.25,0.9994541865373483
-+,48.75,0.9891016513601225
-+,56.25,1.3402572256824439
-+,66.25,0.9534164068839848
-+,80.0,1.385832427461718
-+,96.25,1.4189719425716318
-+,117.5,1.1601136037291973
-+,146.25,1.3578590860464592
-+,182.5,1.921078519924639
-+,230.0,2.110666723736573
-+,292.5,2.159942669974534
-+,372.5,1.9247228257879812
-+,476.25,2.7789812269395187
-+,612.5,2.0048472295883752
-+,790.0,2.0455428402131575
-+,1018.75,2.101713905778552
-+,1316.25,1.7988862319354355
-+,1705.0,1.4496396121993755
-+,2210.0,1.2521734767166355
-+,2865.0,1.0302487535651674
-+,3717.5,0.9849996791932252
-+,4826.25,0.9997646519011986
++,38.75,1.1927161031135174
++,48.75,0.9951415060849438
++,56.25,1.4815968386599256
++,66.25,1.24935087574057
++,117.5,1.4822541005932144
++,146.25,2.1331388049915825
++,182.5,2.773742389915215
++,230.0,1.7220437397173818
++,292.5,2.585467589198223
++,372.5,2.1773166646606783
++,476.25,2.401183070053254
++,612.5,2.866480312720947
++,790.0,2.0783383932591395
++,1018.75,2.3861679297687437
++,1316.25,2.0327826077358466
++,1705.0,1.7209411352866826
++,2210.0,1.3918687407582222
++,2865.0,1.1222370341430403
++,3717.5,0.9986160854068978
++,4826.25,0.9996177442421006
--,66.25,1.1360580554677602
--,96.25,1.5481046517415635
--,117.5,1.9319358327600489
--,146.25,1.2519835823761059
--,182.5,2.001919710319299
--,230.0,2.980308337402616
--,292.5,3.2144998745903592
--,372.5,2.647350674891053
--,476.25,3.2656196429523785
--,612.5,3.0917170045536504
--,790.0,3.07378691865783
--,1018.75,2.8525971528393455
--,1316.25,2.2431647443890403
--,1705.0,1.8269620004781744
--,2210.0,1.3918872728850589
--,2865.0,1.171796235289851
--,3717.5,0.9932037667069822
--,4826.25,0.999525682964393
all,38.75,1.1927161031135174
all,42.5,1.254708048527903
all,48.75,1.0235902261306098
all,56.25,1.5451354159894126
all,66.25,1.4131278364516304
all,80.0,1.9593089875285385
all,96.25,2.1116005021446806
all,117.5,2.47663418774324
all,146.25,2.7825345586728765
all,182.5,3.63767254633066
all,230.0,3.0634601192609194
all,292.5,3.298032979367445
all,372.5,3.402774291441858
all,476.25,3.4795797166989697
all,612.5,3.2662423169081602
all,790.0,2.811902485183394
all,1018.75,2.915786268034077
all,1316.25,2.331879301122836
all,1705.0,1.972863101687052
all,2210.0,1.6051594812621346
all,2865.0,1.2244070425643343
all,3717.5,1.0166987811223502
all,4826.25,0.993758995814888
