orientation,chr_distance,peak_score,n
+-,105.0,1.2725216830609627,6
+-,114.75,1.4513940487247017,8
+-,122.425,1.4325539448291293,3
+-,129.1525,1.7195245763952078,8
+-,137.89825000000002,1.3370027811688487,5
+-,164.0480425,1.1384407616367276,8
+-,183.26245525000004,1.493885063359203,8
+-,208.24119182500004,1.5134927866104593,13
+-,240.71354937250007,1.5387818950352214,12
+-,282.9276141842501,1.2633213098883491,11
+-,337.8058984395251,1.2525142667270526,14
+-,409.1476679713826,1.8639136360531177,19
+-,501.8919683627974,1.3625664895209768,14
+-,622.4595588716368,1.6918838403791656,41
+-,779.1974265331277,1.3495700334156517,39
+-,982.956654493066,1.4171992963483184,60
+-,1247.843650840986,1.31669376148957,68
+-,1592.1967460932817,1.2017049043585621,78
+-,2039.855769921266,1.05414887637682,89
+-,2621.812500897646,0.9984315878827059,129
+-,3378.35625116694,0.968451712737802,106
+-,4361.8631265170225,0.9643635164160262,109
+-,5640.42206447213,0.9823670386501748,68
+-,7302.548683813768,0.9995970606300199,1
-+,122.425,1.1497385279975973,3
-+,137.89825000000002,1.1840467747814354,2
-+,164.0480425,2.2306621010265895,10
-+,183.26245525000004,2.342096673486308,9
-+,208.24119182500004,1.6923838552075126,15
-+,240.71354937250007,1.5084121023211892,10
-+,282.9276141842501,1.7580527853909886,7
-+,337.8058984395251,1.962259267738672,11
-+,409.1476679713826,1.3900761840770113,19
-+,501.8919683627974,2.0123826028835285,29
-+,622.4595588716368,1.7807152921216296,36
-+,779.1974265331277,1.4405151597353778,44
-+,982.956654493066,1.3986865672862183,44
-+,1247.843650840986,1.3451540910951127,69
-+,1592.1967460932817,1.241908538237098,80
-+,2039.855769921266,1.1158815595361926,94
-+,2621.812500897646,1.0096075830020146,117
-+,3378.35625116694,0.9699804282974183,114
-+,4361.8631265170225,0.9727979996344166,106
-+,5640.42206447213,0.9883228192906127,61
++,105.0,1.0067629075253142,2
++,114.75,1.1842720255156423,3
++,122.425,1.2091051372437358,3
++,137.89825000000002,1.6327768407854684,3
++,149.267725,1.221711449604218,5
++,164.0480425,1.5538182402776832,5
++,183.26245525000004,1.3592525906320283,6
++,208.24119182500004,1.2719791883463922,10
++,240.71354937250007,1.2579629832539405,4
++,282.9276141842501,1.4181865679314165,8
++,337.8058984395251,1.8144816008182199,21
++,409.1476679713826,1.9803632139994465,12
++,501.8919683627974,1.5643309025204837,34
++,622.4595588716368,1.7724787585452213,27
++,779.1974265331277,1.887629731857024,39
++,982.956654493066,1.579778961227869,54
++,1247.843650840986,1.452080675332751,64
++,1592.1967460932817,1.2314742108262124,84
++,2039.855769921266,1.1710666731384096,89
++,2621.812500897646,0.9972089783156334,111
++,3378.35625116694,0.9474987090035117,111
++,4361.8631265170225,0.9691766909885889,98
++,5640.42206447213,0.9835095764513254,55
++,7302.548683813768,0.9998277030805247,2
--,114.75,1.1789474126590576,8
--,122.425,1.1459590176434808,3
--,137.89825000000002,1.1717374689244686,8
--,208.24119182500004,1.0595668029471133,3
--,240.71354937250007,1.5176717166809066,5
--,282.9276141842501,1.711161515058589,14
--,337.8058984395251,1.4115989005395486,26
--,409.1476679713826,1.7907753337611156,29
--,501.8919683627974,1.4033285734702057,23
--,622.4595588716368,1.3256082481744056,33
--,779.1974265331277,1.4944642108394965,42
--,982.956654493066,1.4035503711144424,44
--,1247.843650840986,1.3918001121556256,60
--,1592.1967460932817,1.1352924522596466,72
--,2039.855769921266,0.9866475788371307,98
--,2621.812500897646,0.9748876660770345,154
--,3378.35625116694,0.9701068804059998,103
--,4361.8631265170225,0.9783345619594703,96
--,5640.42206447213,0.9855362013541012,89
all,105.0,1.2709655410142542,8
all,114.75,1.517503024398406,19
all,122.425,1.5676305189541606,12
all,129.1525,1.7195245763952078,8
all,137.89825000000002,1.6975037833240596,18
all,149.267725,1.221711449604218,5
all,164.0480425,2.0389303818971127,23
all,183.26245525000004,2.3553401639655394,23
all,208.24119182500004,1.7531108599987464,41
all,240.71354937250007,1.9598436042392116,31
all,282.9276141842501,1.998012139774116,40
all,337.8058984395251,1.914802709209194,72
all,409.1476679713826,2.188880709854357,79
all,501.8919683627974,1.9517039392198037,100
all,622.4595588716368,1.9295954493708132,137
all,779.1974265331277,1.7887395136199413,164
all,982.956654493066,1.667465776731262,202
all,1247.843650840986,1.562767919646389,261
all,1592.1967460932817,1.3256505824772167,314
all,2039.855769921266,1.125164812247132,370
all,2621.812500897646,0.9908053313023558,511
all,3378.35625116694,0.9238814929792487,434
all,4361.8631265170225,0.9305591738903323,409
all,5640.42206447213,0.9538679720088328,273
all,7302.548683813768,0.9994259179839866,3
