orientation,chr_distance,peak_score,n
+-,104.75,1.1955821314030208,6
+-,112.425,1.2552148635489653,8
+-,119.1525,1.2640366194302208,3
+-,127.89825,1.4480433014094516,8
+-,139.267725,1.2202073337564503,5
+-,154.0480425,1.0333119823092194,2
+-,173.26245525000004,1.0900961228801878,14
+-,198.24119182500004,1.306910615843378,5
+-,230.71354937250007,1.3554196642409073,17
+-,272.9276141842501,1.1245175799273905,14
+-,327.8058984395251,1.1108298841515822,11
+-,399.1476679713826,1.2366308658800675,22
+-,491.8919683627974,1.1452420845907905,14
+-,612.4595588716368,1.2630643364748482,38
+-,769.1974265331277,1.1192931671114543,42
+-,972.956654493066,1.1468234556611914,58
+-,1237.843650840986,1.0566148786584828,63
+-,1582.1967460932817,1.0272685801101817,79
+-,2029.855769921266,0.9895931488747536,91
+-,2611.812500897646,0.9887649770440383,130
+-,3368.35625116694,0.979828241498882,108
+-,4351.8631265170225,0.9787015953670377,107
+-,5630.42206447213,0.9925940623925451,71
+-,7292.548683813768,0.9995804238250042,1
-+,95.0,1.1147744817329455,11
-+,119.1525,1.0918462890119707,3
-+,139.267725,1.10504978718534,2
-+,154.0480425,1.2244769269069964,5
-+,173.26245525000004,1.888730255879643,11
-+,198.24119182500004,1.5249220022049386,18
-+,230.71354937250007,1.0285061635680086,3
-+,272.9276141842501,1.4420775174347678,11
-+,327.8058984395251,1.466593238325221,14
-+,399.1476679713826,1.1367174851407886,17
-+,491.8919683627974,1.4256069447361566,28
-+,612.4595588716368,1.342327360692869,37
-+,769.1974265331277,1.1777120597256114,39
-+,972.956654493066,1.1949763621342133,49
-+,1237.843650840986,1.0944404286478355,69
-+,1582.1967460932817,1.0377989956356366,82
-+,2029.855769921266,1.0266148111737439,91
-+,2611.812500897646,0.986730524446453,118
-+,3368.35625116694,0.9771402143873384,116
-+,4351.8631265170225,0.9811385445407862,106
-+,5630.42206447213,0.9911130796160469,61
++,104.75,0.9794340382343429,2
++,112.425,1.1066771622183127,3
++,119.1525,1.1060221927338894,3
++,139.267725,1.2469792996451934,3
++,154.0480425,1.2491964603914614,8
++,173.26245525000004,1.223436907161359,5
++,198.24119182500004,1.189532018456149,11
++,230.71354937250007,1.2810197780932175,6
++,272.9276141842501,1.2379962027415992,6
++,327.8058984395251,1.3052638523441487,20
++,399.1476679713826,1.4455129280478392,15
++,491.8919683627974,1.2845835926735898,30
++,612.4595588716368,1.2055159241432527,29
++,769.1974265331277,1.4135090744892342,39
++,972.956654493066,1.2447935242970192,52
++,1237.843650840986,1.119773993841986,66
++,1582.1967460932817,1.0604992092853864,84
++,2029.855769921266,1.024011228243059,87
++,2611.812500897646,0.9838640811381822,112
++,3368.35625116694,0.9768553657517336,113
++,4351.8631265170225,0.9870324586607163,99
++,5630.42206447213,0.9874405608149265,55
++,7292.548683813768,0.9998343005095743,2
--,95.0,1.1033219553189664,3
--,112.425,1.1889188684996297,8
--,119.1525,1.0628946256916691,3
--,139.267725,1.13226282146915,8
--,198.24119182500004,1.1219921504107344,3
--,272.9276141842501,1.319507260461145,16
--,327.8058984395251,1.2644697733923538,26
--,399.1476679713826,1.352625485096882,26
--,491.8919683627974,1.340892453261662,27
--,612.4595588716368,1.284649495220005,33
--,769.1974265331277,1.2500144181202617,44
--,972.956654493066,1.090122065736839,44
--,1237.843650840986,1.0738887267909796,58
--,1582.1967460932817,1.0167416367246453,74
--,2029.855769921266,0.9852666169844634,96
--,2611.812500897646,0.9824859810801236,152
--,3368.35625116694,0.9878393021748448,106
--,4351.8631265170225,0.9910609674184376,96
--,5630.42206447213,0.9889999885632916,90
all,95.0,1.163006448989738,14
all,104.75,1.1636936674162217,8
all,112.425,1.3286007984215353,19
all,119.1525,1.3234035307590655,12
all,127.89825,1.4480433014094516,8
all,139.267725,1.3765271288367193,18
all,154.0480425,1.3385007363718866,15
all,173.26245525000004,1.6310524091814576,30
all,198.24119182500004,1.5750683319590162,37
all,230.71354937250007,1.4310626569265905,26
all,272.9276141842501,1.4829232104497192,47
all,327.8058984395251,1.4509857058187705,71
all,399.1476679713826,1.4475601350553007,80
all,491.8919683627974,1.4954854276742948,99
all,612.4595588716368,1.4045241784901155,137
all,769.1974265331277,1.35634118413054,164
all,972.956654493066,1.2656233787972362,203
all,1237.843650840986,1.1390258412777905,256
all,1582.1967460932817,1.0623419893834432,319
all,2029.855769921266,1.0116294557807093,365
all,2611.812500897646,0.9722268185251625,512
all,3368.35625116694,0.9549869068302567,443
all,4351.8631265170225,0.9594313256067781,408
all,5630.42206447213,0.9694505538759199,277
all,7292.548683813768,0.999415788924632,3
