orientation,chr_distance,peak_score
+-,42.5,1.0661250180282273
+-,66.25,0.949158958944144
+-,80.0,1.0216468369031038
+-,96.25,1.0081247029667684
+-,117.5,0.9841037302764991
+-,146.25,0.9480108540836267
+-,182.5,0.9855256346211355
+-,230.0,0.9841118840428374
+-,292.5,1.0328416576407327
+-,372.5,0.9963202427415134
+-,476.25,0.9923186938185102
+-,612.5,0.991586211340489
+-,790.0,0.9842322575248336
+-,1018.75,1.1507109667589122
+-,1316.25,1.0580007876524857
+-,1705.0,1.0120269527197991
+-,2210.0,1.0506139215646753
+-,2865.0,1.004555993860784
+-,3717.5,0.9948403417226813
+-,4826.25,1.0002358106725144
-+,48.75,1.0253885618844252
-+,56.25,0.9729681230338364
-+,66.25,0.9292471595304094
-+,80.0,0.9717328386924753
-+,96.25,0.9657123163970854
-+,117.5,0.9967984900010144
-+,146.25,0.9717388685436232
-+,182.5,1.047899394320552
-+,230.0,1.0079194921349464
-+,292.5,0.9957899401884639
-+,372.5,1.0616708317968229
-+,476.25,1.0528692077177297
-+,612.5,1.0061350688499275
-+,790.0,0.9965322766595334
-+,1018.75,0.9935452908758682
-+,1316.25,1.0180944032927222
-+,1705.0,1.070087816658299
-+,2210.0,1.033144163346941
-+,2865.0,1.0144203505035652
-+,3717.5,1.0034587579797138
-+,4826.25,0.999680844726059
++,38.75,1.0557433377315935
++,48.75,0.9280289332887419
++,56.25,0.9768197933258111
++,66.25,0.9936119718705798
++,117.5,0.9751845707576907
++,146.25,1.0078752629373038
++,182.5,0.9831452564241722
++,230.0,1.0014726105076859
++,292.5,1.077824868247899
++,372.5,0.993753784636824
++,476.25,0.9987060898429165
++,612.5,0.9612502827850525
++,790.0,1.0671889902795204
++,1018.75,1.020710366217798
++,1316.25,0.9810886541727053
++,1705.0,0.9735820343639289
++,2210.0,0.9739934902535377
++,2865.0,1.008491986346137
++,3717.5,0.9943571048588227
++,4826.25,0.9997863153387702
--,66.25,0.9491792807158768
--,96.25,0.9647763697391554
--,117.5,1.0011415569145046
--,146.25,0.9967663498479342
--,182.5,0.9919334344263011
--,230.0,1.1326902071400076
--,292.5,0.9713585481643386
--,372.5,1.1705477947380105
--,476.25,1.0987198520411794
--,612.5,1.0303728470979296
--,790.0,1.0800502799409726
--,1018.75,0.9867602554529393
--,1316.25,1.0589433875923702
--,1705.0,1.034587974712262
--,2210.0,0.9832715844897494
--,2865.0,1.0180352186615682
--,3717.5,0.9915434186342772
--,4826.25,0.9995338066699
all,38.75,1.0557433377315935
all,42.5,1.0661250180282273
all,48.75,1.0312016332783898
all,56.25,1.0208025254063606
all,66.25,0.9989436751327253
all,80.0,1.0258197322520373
all,96.25,0.9936500224217221
all,117.5,0.9919729731088274
all,146.25,0.9586889648343508
all,182.5,1.006301686513751
all,230.0,1.073145768695397
all,292.5,1.0374957098722657
all,372.5,1.0909135931277711
all,476.25,1.0605861635221296
all,612.5,0.9941124421833119
all,790.0,1.0359718271783205
all,1018.75,1.0464231809245566
all,1316.25,1.0345638920392315
all,1705.0,1.0276455378943958
all,2210.0,1.0149206054919784
all,2865.0,1.0156453618663726
all,3717.5,0.9920065550722919
all,4826.25,0.9971403266864141
