orientation,chr_distance,peak_score
+-,105.0,0.9383673937920217
+-,114.75,0.991784782756642
+-,122.425,0.9862538070884914
+-,129.1525,1.0039324817693835
+-,137.89825000000002,0.9952578533182288
+-,164.0480425,0.9827389431991218
+-,183.26245525000004,1.0042771753054174
+-,208.24119182500004,1.0089226243486176
+-,240.71354937250007,0.9973911827847408
+-,282.9276141842501,1.0191747296477909
+-,337.8058984395251,1.0249184374173699
+-,409.1476679713826,1.0102901419613286
+-,501.8919683627974,1.0072720632388528
+-,622.4595588716368,1.0132971303983864
+-,779.1974265331277,1.012825517376559
+-,982.956654493066,1.0039646356025935
+-,1247.843650840986,0.9893638509858893
+-,1592.1967460932817,0.999305376977927
+-,2039.855769921266,1.0000507657344677
+-,2621.812500897646,0.992754303971906
+-,3378.35625116694,0.9958548168240602
+-,4361.8631265170225,1.0016446599386812
+-,5640.42206447213,1.0011215077698488
+-,7302.548683813768,0.9997507079640355
-+,122.425,0.9693118432164224
-+,137.89825000000002,0.995988689991353
-+,164.0480425,1.0144798419628507
-+,183.26245525000004,1.0096664301710192
-+,208.24119182500004,0.9907489549491438
-+,240.71354937250007,1.0048688423345749
-+,282.9276141842501,1.0138509027279057
-+,337.8058984395251,1.0359095502695486
-+,409.1476679713826,1.0096999520827739
-+,501.8919683627974,0.9944488858182947
-+,622.4595588716368,1.0148039719372728
-+,779.1974265331277,1.016259572362791
-+,982.956654493066,1.0048097561206841
-+,1247.843650840986,0.986398420178284
-+,1592.1967460932817,0.9976967616635388
-+,2039.855769921266,0.9835548702973943
-+,2621.812500897646,0.9989770453670517
-+,3378.35625116694,1.0035301972682764
-+,4361.8631265170225,0.9957192665981739
-+,5640.42206447213,0.99997744122051
++,105.0,0.9450429684080065
++,114.75,0.9628461924798815
++,122.425,0.9750160806902203
++,137.89825000000002,0.9998194818489637
++,149.267725,1.0087402080048622
++,164.0480425,1.00980782554484
++,183.26245525000004,1.0041887316220022
++,208.24119182500004,1.0214129737828084
++,240.71354937250007,1.0065992571429272
++,282.9276141842501,1.011291220493288
++,337.8058984395251,1.0247290414776282
++,409.1476679713826,1.017588275659131
++,501.8919683627974,1.0079335142740995
++,622.4595588716368,1.0063140839904605
++,779.1974265331277,0.995017051041668
++,982.956654493066,0.9953520105595088
++,1247.843650840986,0.9912773511044647
++,1592.1967460932817,0.997258408393232
++,2039.855769921266,0.9958205336390278
++,2621.812500897646,0.9949350144421206
++,3378.35625116694,0.9939115651303768
++,4361.8631265170225,1.0040492208080656
++,5640.42206447213,0.9972364390304906
++,7302.548683813768,1.0000965412258203
--,114.75,0.9663794676162386
--,122.425,0.9702919633230487
--,137.89825000000002,1.0116752605744805
--,208.24119182500004,1.0005058657452266
--,240.71354937250007,1.0124582131770796
--,282.9276141842501,1.0149022178230884
--,337.8058984395251,1.007933286718234
--,409.1476679713826,1.0269142757691405
--,501.8919683627974,1.00930768006104
--,622.4595588716368,1.005947964064629
--,779.1974265331277,1.0076381937525984
--,982.956654493066,0.99625461418289
--,1247.843650840986,1.0054000196331019
--,1592.1967460932817,1.0022366752089682
--,2039.855769921266,0.9943465890238525
--,2621.812500897646,1.0005077553316624
--,3378.35625116694,1.0021523728163024
--,4361.8631265170225,1.0038212924762249
--,5640.42206447213,1.0015970843822228
all,105.0,0.9370146510146282
all,114.75,0.98758760427658
all,122.425,0.9740313264121098
all,129.1525,1.0039324817693835
all,137.89825000000002,1.0174692523825404
all,149.267725,1.0087402080048622
all,164.0480425,1.0108908251529292
all,183.26245525000004,1.0166852931816674
all,208.24119182500004,1.0138257444049241
all,240.71354937250007,1.0128139755124883
all,282.9276141842501,1.0306634387974316
all,337.8058984395251,1.0369819885032445
all,409.1476679713826,1.0302438600120252
all,501.8919683627974,1.0102772430817972
all,622.4595588716368,1.018738284758225
all,779.1974265331277,1.0153091146426085
all,982.956654493066,1.0013945270982152
all,1247.843650840986,0.9881689353229144
all,1592.1967460932817,0.9986858556427801
all,2039.855769921266,0.9864023856949001
all,2621.812500897646,0.9933330505696432
all,3378.35625116694,0.9973371576769261
all,4361.8631265170225,1.0032689719382333
all,5640.42206447213,1.00002925927015
all,7302.548683813768,0.999847916759347
