orientation,chr_distance,peak_score,n
+-,105.0,0.9746602791178063,6
+-,114.75,1.0353946870730375,8
+-,122.425,1.0469027097860715,3
+-,129.1525,1.0938688155677152,8
+-,137.89825000000002,1.0292216159961922,5
+-,164.0480425,0.9997019298313095,8
+-,183.26245525000004,1.0123443430813865,8
+-,208.24119182500004,1.0824482295040265,13
+-,240.71354937250007,1.0143321218151244,12
+-,282.9276141842501,1.0086795040409062,11
+-,337.8058984395251,1.0030208890064578,14
+-,409.1476679713826,1.0245006175532951,19
+-,501.8919683627974,0.9999507294814691,14
+-,622.4595588716368,1.0332908323125858,41
+-,779.1974265331277,1.0221446208217433,39
+-,982.956654493066,1.0003425657394578,60
+-,1247.843650840986,0.9977968611316137,68
+-,1592.1967460932817,0.9975355555682461,78
+-,2039.855769921266,0.9987004475874511,89
+-,2621.812500897646,0.997635851707164,129
+-,3378.35625116694,0.994236445945738,106
+-,4361.8631265170225,1.0006087090868734,109
+-,5640.42206447213,0.9978667272194198,68
+-,7302.548683813768,1.0001523784994155,1
-+,122.425,1.0056793468628473,3
-+,137.89825000000002,1.0162801216246615,2
-+,164.0480425,1.0757355374774187,10
-+,183.26245525000004,1.0543549987168195,9
-+,208.24119182500004,1.082105167240059,15
-+,240.71354937250007,1.055126823652599,10
-+,282.9276141842501,1.0315498183995788,7
-+,337.8058984395251,1.0523672091409,11
-+,409.1476679713826,1.022837627903861,19
-+,501.8919683627974,1.0690718637204233,29
-+,622.4595588716368,1.0405522721060667,36
-+,779.1974265331277,1.005705590235655,44
-+,982.956654493066,0.9888951070220218,44
-+,1247.843650840986,0.9929690719135469,69
-+,1592.1967460932817,0.9960222185326437,80
-+,2039.855769921266,0.9944433267540046,94
-+,2621.812500897646,0.9960489848571633,117
-+,3378.35625116694,1.0019627584007056,114
-+,4361.8631265170225,1.0009120958995341,106
-+,5640.42206447213,1.0018404001779366,61
++,105.0,0.9462303350267337,2
++,114.75,1.0024359506073284,3
++,122.425,1.0187777256478014,3
++,137.89825000000002,1.0459958898393977,3
++,149.267725,1.0274624451898782,5
++,164.0480425,1.0215065462456934,5
++,183.26245525000004,1.005930958443253,6
++,208.24119182500004,1.0234481888098559,10
++,240.71354937250007,1.030110056540539,4
++,282.9276141842501,1.0036942162712124,8
++,337.8058984395251,1.0831893809480795,21
++,409.1476679713826,1.0334126120853475,12
++,501.8919683627974,1.0240240833101881,34
++,622.4595588716368,1.037059012689796,27
++,779.1974265331277,1.0173798543635655,39
++,982.956654493066,1.0121658080223441,54
++,1247.843650840986,1.0024661141230102,64
++,1592.1967460932817,0.9979167147684647,84
++,2039.855769921266,0.993556381083227,89
++,2621.812500897646,0.9964298452497318,111
++,3378.35625116694,0.9982574853992252,111
++,4361.8631265170225,0.9990637921855954,98
++,5640.42206447213,0.9983025208343476,55
++,7302.548683813768,0.9994996506415694,2
--,114.75,1.0213734681885591,8
--,122.425,0.9594367665278646,3
--,137.89825000000002,1.0372193550348339,8
--,208.24119182500004,1.0352012370804586,3
--,240.71354937250007,1.0213280809792367,5
--,282.9276141842501,1.061648330918013,14
--,337.8058984395251,1.0362956034113173,26
--,409.1476679713826,1.060084400833869,29
--,501.8919683627974,1.0251375003369938,23
--,622.4595588716368,1.0148355213197664,33
--,779.1974265331277,1.0131362478645463,42
--,982.956654493066,1.0116591846158935,44
--,1247.843650840986,1.0010405891101604,60
--,1592.1967460932817,0.9962631302961913,72
--,2039.855769921266,1.0031923498877469,98
--,2621.812500897646,0.9977102471897127,154
--,3378.35625116694,0.9987254809210333,103
--,4361.8631265170225,0.9979468475210131,96
--,5640.42206447213,0.9990614431374488,89
all,105.0,0.9651131037554403,8
all,114.75,1.0606939891987646,19
all,122.425,1.0410704512247364,12
all,129.1525,1.0938688155677152,8
all,137.89825000000002,1.0817510788917193,18
all,149.267725,1.0274624451898782,5
all,164.0480425,1.063038031824221,23
all,183.26245525000004,1.0502724482062311,23
all,208.24119182500004,1.1106519287517704,41
all,240.71354937250007,1.065392455560185,31
all,282.9276141842501,1.0573317043935453,40
all,337.8058984395251,1.0797278250499343,72
all,409.1476679713826,1.0677641965937328,79
all,501.8919683627974,1.0575924890800776,100
all,622.4595588716368,1.056838357661169,137
all,779.1974265331277,1.0282427389852649,164
all,982.956654493066,1.0076059745411288,202
all,1247.843650840986,0.9978921143933217,261
all,1592.1967460932817,0.9939291123991885,314
all,2039.855769921266,0.9946140786417224,370
all,2621.812500897646,0.993156967221443,511
all,3378.35625116694,0.9955072116045947,434
all,4361.8631265170225,0.9989828920512385,409
all,5640.42206447213,0.9975914575477511,273
all,7302.548683813768,0.999652284327343,3
