orientation,chr_distance,peak_score,n
+-,104.75,1.1359163075571894,6
+-,112.425,1.1574087795187884,8
+-,119.1525,1.2290237192653182,3
+-,127.89825,1.3232809617279047,8
+-,139.267725,1.1538944562416038,5
+-,154.0480425,1.0862187378151122,2
+-,173.26245525000004,1.1396949957948177,14
+-,198.24119182500004,1.145459227573478,5
+-,230.71354937250007,1.315751022801869,17
+-,272.9276141842501,1.1894669036216587,14
+-,327.8058984395251,1.1303134002105986,11
+-,399.1476679713826,1.154103415460633,22
+-,491.8919683627974,1.1655915450209808,14
+-,612.4595588716368,1.2938328196590136,38
+-,769.1974265331277,1.207103528897406,42
+-,972.956654493066,1.3143866272743823,58
+-,1237.843650840986,1.16025665369194,63
+-,1582.1967460932817,1.1112652249477708,79
+-,2029.855769921266,1.054271489409296,91
+-,2611.812500897646,1.0129597180370624,130
+-,3368.35625116694,0.9826925978236185,108
+-,4351.8631265170225,0.9712927750116874,107
+-,5630.42206447213,0.9883219903373086,71
+-,7292.548683813768,0.9998978227745122,1
-+,95.0,1.0920108318362656,11
-+,119.1525,1.1644055832196916,3
-+,139.267725,1.0527650248822478,2
-+,154.0480425,1.1402648871945607,5
-+,173.26245525000004,1.1906521896353728,11
-+,198.24119182500004,1.4067784860549766,18
-+,230.71354937250007,1.076152411384438,3
-+,272.9276141842501,1.2614073301134199,11
-+,327.8058984395251,1.2620464608862447,14
-+,399.1476679713826,1.3501961473569422,17
-+,491.8919683627974,1.515964095018801,28
-+,612.4595588716368,1.256629570062013,37
-+,769.1974265331277,1.2506213149539782,39
-+,972.956654493066,1.226968842976175,49
-+,1237.843650840986,1.1704165757199547,69
-+,1582.1967460932817,1.206406152158854,82
-+,2029.855769921266,1.0840775598731935,91
-+,2611.812500897646,1.0186085262305935,118
-+,3368.35625116694,0.9869688539243386,116
-+,4351.8631265170225,0.972731282297238,106
-+,5630.42206447213,0.9826732949451439,61
++,104.75,0.9793042548233757,2
++,112.425,1.1176705253286023,3
++,119.1525,1.1063276334672958,3
++,139.267725,1.158987872629719,3
++,154.0480425,1.10816154078977,8
++,173.26245525000004,1.1199046315402694,5
++,198.24119182500004,1.1822229162155984,11
++,230.71354937250007,1.1190437147971901,6
++,272.9276141842501,1.2008138030775266,6
++,327.8058984395251,1.555632428367369,20
++,399.1476679713826,1.312967761059321,15
++,491.8919683627974,1.3387955735511392,30
++,612.4595588716368,1.2274651370519705,29
++,769.1974265331277,1.425917587942046,39
++,972.956654493066,1.3081211094576084,52
++,1237.843650840986,1.2307040884636593,66
++,1582.1967460932817,1.147840830158561,84
++,2029.855769921266,1.0962867239636769,87
++,2611.812500897646,1.0240166880248263,112
++,3368.35625116694,0.9779977199657665,113
++,4351.8631265170225,0.9677802801891541,99
++,5630.42206447213,0.9829305981751015,55
++,7292.548683813768,0.999034377974058,2
--,95.0,0.9553222616276646,3
--,112.425,1.1225504193299805,8
--,119.1525,1.016323981617261,3
--,139.267725,1.0197389013996991,8
--,198.24119182500004,1.1576522101923648,3
--,272.9276141842501,1.2909651306334196,16
--,327.8058984395251,1.1111458416144777,26
--,399.1476679713826,1.3012316744226489,26
--,491.8919683627974,1.3862109471700927,27
--,612.4595588716368,1.2879057759219297,33
--,769.1974265331277,1.3542740099041946,44
--,972.956654493066,1.2353569622059815,44
--,1237.843650840986,1.2556577973525864,58
--,1582.1967460932817,1.1735905160125493,74
--,2029.855769921266,1.0454117074183071,96
--,2611.812500897646,1.0131313854222774,152
--,3368.35625116694,0.9850345899095769,106
--,4351.8631265170225,0.9820982545697978,96
--,5630.42206447213,0.9840065677962543,90
all,95.0,1.0638105416302999,14
all,104.75,1.1194031690189064,8
all,112.425,1.2513559784700463,19
all,119.1525,1.3326309478681613,12
all,127.89825,1.3232809617279047,8
all,139.267725,1.2251722755892038,18
all,154.0480425,1.2167666926221261,15
all,173.26245525000004,1.2467135280289041,30
all,198.24119182500004,1.4630752918286671,37
all,230.71354937250007,1.3509892194215671,26
all,272.9276141842501,1.4168000396222227,47
all,327.8058984395251,1.4210667259208694,71
all,399.1476679713826,1.4299134072686102,80
all,491.8919683627974,1.5610179819391306,99
all,612.4595588716368,1.379408684305412,137
all,769.1974265331277,1.4409834114599704,164
all,972.956654493066,1.3813801246193282,203
all,1237.843650840986,1.283926822396287,256
all,1582.1967460932817,1.2252129795077782,319
all,2029.855769921266,1.101924823965913,365
all,2611.812500897646,1.0253893531228806,512
all,3368.35625116694,0.9695479449057492,443
all,4351.8631265170225,0.9431105108872543,408
all,5630.42206447213,0.9576571595815216,277
all,7292.548683813768,0.9989345592950504,3
