lifetime, velocity, clife, cof, face, fripscore
500.0,3,1500.0,150.0,0.3,0.53969441
1500.0,0.33,1500.0,3.0,0.3,0.43252311
1500.0,1,1500.0,3.0,0.3,0.63101276
1500.0,3,1500.0,3.0,0.3,0.6925877
166.0,0.33,1500.0,3.0,0.3,0.08662813
166.0,1,1500.0,3.0,0.3,0.1895783
166.0,3,1500.0,3.0,0.3,0.30299617
500.0,0.33,1500.0,3.0,0.3,0.20935852
500.0,1,1500.0,3.0,0.3,0.38954399
500.0,3,1500.0,3.0,0.3,0.52291827
1500.0,0.33,30.0,1.0,0.3,0.42741252
1500.0,1,30.0,1.0,0.3,0.61360762
1500.0,3,30.0,1.0,0.3,0.70059108
166.0,0.33,30.0,1.0,0.3,0.08558656
166.0,1,30.0,1.0,0.3,0.18562111
166.0,3,30.0,1.0,0.3,0.30566447
500.0,0.33,30.0,1.0,0.3,0.21983461
500.0,1,30.0,1.0,0.3,0.38768919
500.0,3,30.0,1.0,0.3,0.52096432
1500.0,0.33,30.0,150.0,0.3,0.42903106
1500.0,1,30.0,150.0,0.3,0.62341869
1500.0,3,30.0,150.0,0.3,0.72614923
166.0,0.33,30.0,150.0,0.3,0.08585238
166.0,1,30.0,150.0,0.3,0.18592663
166.0,3,30.0,150.0,0.3,0.30250414
500.0,0.33,30.0,150.0,0.3,0.21740224
500.0,1,30.0,150.0,0.3,0.39173855
500.0,3,30.0,150.0,0.3,0.52810266
1500.0,0.33,30.0,3.0,0.3,0.42936321
1500.0,1,30.0,3.0,0.3,0.61995494
1500.0,3,30.0,3.0,0.3,0.70876002
166.0,0.33,30.0,3.0,0.3,0.08767488
166.0,1,30.0,3.0,0.3,0.18625432
166.0,3,30.0,3.0,0.3,0.30101486
500.0,0.33,30.0,3.0,0.3,0.21147335
500.0,1,30.0,3.0,0.3,0.3962886
500.0,3,30.0,3.0,0.3,0.52889147
1500.0,0.33,10.0,1.0,0.5,0.43667738
1500.0,1,10.0,1.0,0.5,0.65524503
1500.0,3,10.0,1.0,0.5,0.75237576
166.0,0.33,10.0,1.0,0.5,0.090596
166.0,1,10.0,1.0,0.5,0.21215827
166.0,3,10.0,1.0,0.5,0.36566763
500.0,0.33,10.0,1.0,0.5,0.22118765
500.0,1,10.0,1.0,0.5,0.42549278
500.0,3,10.0,1.0,0.5,0.58245509
1500.0,0.33,10.0,150.0,0.5,0.44134167
1500.0,1,10.0,150.0,0.5,0.64030279
1500.0,3,10.0,150.0,0.5,0.76899226
166.0,0.33,10.0,150.0,0.5,0.08852463
166.0,1,10.0,150.0,0.5,0.2070198
166.0,3,10.0,150.0,0.5,0.36777527
500.0,0.33,10.0,150.0,0.5,0.2146497
500.0,1,10.0,150.0,0.5,0.42420233
500.0,3,10.0,150.0,0.5,0.60131942
1500.0,0.33,10.0,3.0,0.5,0.44391365
1500.0,1,10.0,3.0,0.5,0.64297775
1500.0,3,10.0,3.0,0.5,0.75480129
166.0,0.33,10.0,3.0,0.5,0.08902375
166.0,1,10.0,3.0,0.5,0.20637033
166.0,3,10.0,3.0,0.5,0.35855115
500.0,0.33,10.0,3.0,0.5,0.22147176
500.0,1,10.0,3.0,0.5,0.42131376
500.0,3,10.0,3.0,0.5,0.59125172
1500.0,0.33,1500.0,1.0,0.5,0.42984333
1500.0,1,1500.0,1.0,0.5,0.63829119
1500.0,3,1500.0,1.0,0.5,0.75495921
166.0,0.33,1500.0,1.0,0.5,0.08883639
166.0,1,1500.0,1.0,0.5,0.20532227
166.0,3,1500.0,1.0,0.5,0.36924428
500.0,0.33,1500.0,1.0,0.5,0.2233661
500.0,1,1500.0,1.0,0.5,0.41698078
500.0,3,1500.0,1.0,0.5,0.61087421
1500.0,0.33,1500.0,150.0,0.5,0.44920965
1500.0,1,1500.0,150.0,0.5,0.64489204
1500.0,3,1500.0,150.0,0.5,0.75921109
166.0,0.33,1500.0,150.0,0.5,0.08848653
166.0,1,1500.0,150.0,0.5,0.20713997
166.0,3,1500.0,150.0,0.5,0.35615775
500.0,0.33,1500.0,150.0,0.5,0.2170365
500.0,1,1500.0,150.0,0.5,0.42336495
500.0,3,1500.0,150.0,0.5,0.58947079
1500.0,0.33,1500.0,3.0,0.5,0.44205543
1500.0,1,1500.0,3.0,0.5,0.64927442
1500.0,3,1500.0,3.0,0.5,0.73919699
166.0,0.33,1500.0,3.0,0.5,0.09059021
166.0,1,1500.0,3.0,0.5,0.20577398
166.0,3,1500.0,3.0,0.5,0.36165321
500.0,0.33,1500.0,3.0,0.5,0.21844196
500.0,1,1500.0,3.0,0.5,0.42280439
500.0,3,1500.0,3.0,0.5,0.60109265
1500.0,0.33,30.0,1.0,0.5,0.43099057
1500.0,1,30.0,1.0,0.5,0.6414092
1500.0,3,30.0,1.0,0.5,0.76845391
166.0,0.33,30.0,1.0,0.5,0.09046692
166.0,1,30.0,1.0,0.5,0.20940367
166.0,3,30.0,1.0,0.5,0.36600014
500.0,0.33,30.0,1.0,0.5,0.22056559
500.0,1,30.0,1.0,0.5,0.42258478
500.0,3,30.0,1.0,0.5,0.59437537
1500.0,0.33,30.0,150.0,0.5,0.4395913
1500.0,1,30.0,150.0,0.5,0.65067929
1500.0,3,30.0,150.0,0.5,0.73787167
166.0,0.33,30.0,150.0,0.5,0.09032342
166.0,1,30.0,150.0,0.5,0.20506839
166.0,3,30.0,150.0,0.5,0.36709315
500.0,0.33,30.0,150.0,0.5,0.2210595
500.0,1,30.0,150.0,0.5,0.42342388
500.0,3,30.0,150.0,0.5,0.58895765
1500.0,0.33,30.0,3.0,0.5,0.43829832
1500.0,1,30.0,3.0,0.5,0.64877516
1500.0,3,30.0,3.0,0.5,0.74952044
166.0,0.33,30.0,3.0,0.5,0.0911136
166.0,1,30.0,3.0,0.5,0.20838476
166.0,3,30.0,3.0,0.5,0.36502825
500.0,0.33,30.0,3.0,0.5,0.21838813
500.0,1,30.0,3.0,0.5,0.43716387
500.0,3,30.0,3.0,0.5,0.59700454
1500.0,0.33,10.0,1.0,0.7,0.45686368
1500.0,1,10.0,1.0,0.7,0.65409675
1500.0,3,10.0,1.0,0.7,0.7803831
166.0,0.33,10.0,1.0,0.7,0.09047728
166.0,1,10.0,1.0,0.7,0.2193012
166.0,3,10.0,1.0,0.7,0.39247693
500.0,0.33,10.0,1.0,0.7,0.21756902
500.0,1,10.0,1.0,0.7,0.43123735
500.0,3,10.0,1.0,0.7,0.64580253
1500.0,0.33,10.0,150.0,0.7,0.44138717
1500.0,1,10.0,150.0,0.7,0.66205828
1500.0,3,10.0,150.0,0.7,0.77563469
