lifetime, velocity, separation, clife, cof, fripscore
1500.0,3,100,1.5,1.0,0.01241836
500.0,1,1000,1.5,1.0,0.0131787
500.0,1,100,1.5,1.0,0.01294013
500.0,3,100,1.5,1.0,0.0149191
500.0,1,300,1.5,1.0,0.013224545454545454
500.0,1,500,1.5,1.0,0.0122143
500.0,1,700,1.5,1.0,0.013656928571428572
1500.0,1,100,1.5,1.5,0.01182905
1500.0,3,100,1.5,1.5,0.01074878
500.0,1,1000,1.5,1.5,0.011326
500.0,1,100,1.5,1.5,0.01234889
500.0,3,100,1.5,1.5,0.01661717
500.0,1,300,1.5,1.5,0.012716848484848485
500.0,1,500,1.5,1.5,0.0127365
500.0,1,700,1.5,1.5,0.012161857142857143
500.0,1,1000,1.5,100000.0,0.0087981
500.0,1,100,1.5,100000.0,0.00972295
500.0,1,300,1.5,100000.0,0.01026490909090909
500.0,1,500,1.5,100000.0,0.00929415
500.0,1,700,1.5,100000.0,0.0097845
1500.0,1,100,1.5,15.0,0.01083337
1500.0,3,100,1.5,15.0,0.01268347
500.0,1,1000,1.5,15.0,0.0094437
500.0,1,100,1.5,15.0,0.00969555
500.0,3,100,1.5,15.0,0.01518525
500.0,1,300,1.5,15.0,0.010674939393939395
500.0,1,500,1.5,15.0,0.01031035
500.0,1,700,1.5,15.0,0.009815
1500.0,1,100,1.5,150.0,0.01207112
1500.0,3,100,1.5,150.0,0.0144433
500.0,1,1000,1.5,150.0,0.0105779
500.0,1,100,1.5,150.0,0.00995665
500.0,3,100,1.5,150.0,0.00797814
500.0,1,300,1.5,150.0,0.00865951515151515
500.0,1,500,1.5,150.0,0.00883155
500.0,1,700,1.5,150.0,0.00922242857142857
1500.0,1,100,1.5,1500.0,0.00916657
1500.0,3,100,1.5,1500.0,0.00711328
500.0,1,1000,1.5,1500.0,0.0089253
500.0,1,100,1.5,1500.0,0.00989893
500.0,3,100,1.5,1500.0,0.00892296
500.0,1,300,1.5,1500.0,0.009187
500.0,1,500,1.5,1500.0,0.0090761
500.0,1,700,1.5,1500.0,0.0093595
1500.0,1,100,1.5,15000.0,0.01047838
1500.0,3,100,1.5,15000.0,0.01217752
500.0,1,1000,1.5,15000.0,0.0099063
500.0,1,100,1.5,15000.0,0.00982799
500.0,3,100,1.5,15000.0,0.01055002
500.0,1,300,1.5,15000.0,0.008467121212121212
500.0,1,500,1.5,15000.0,0.01008285
500.0,1,700,1.5,15000.0,0.009193928571428572
1500.0,1,100,1.5,150000.0,0.01058187
1500.0,3,100,1.5,150000.0,0.00537916
500.0,1,1000,1.5,150000.0,0.0094866
500.0,1,100,1.5,150000.0,0.00934019
500.0,3,100,1.5,150000.0,0.00895266
500.0,1,300,1.5,150000.0,0.009298363636363636
500.0,1,500,1.5,150000.0,0.0087801
500.0,1,700,1.5,150000.0,0.009986428571428571
1500.0,1,100,1.5,3.0,0.01023324
1500.0,3,100,1.5,3.0,0.01324117
500.0,1,1000,1.5,3.0,0.010563
500.0,1,100,1.5,3.0,0.01113426
500.0,3,100,1.5,3.0,0.01042251
500.0,1,300,1.5,3.0,0.011344666666666666
500.0,1,500,1.5,3.0,0.0109153
500.0,1,700,1.5,3.0,0.010654785714285714
1500.0,1,100,1.5,5.0,0.00990215
1500.0,3,100,1.5,5.0,0.01364907
500.0,1,1000,1.5,5.0,0.0102334
500.0,1,100,1.5,5.0,0.01038038
500.0,3,100,1.5,5.0,0.009254
500.0,1,300,1.5,5.0,0.010593363636363637
500.0,1,500,1.5,5.0,0.0102977
500.0,1,700,1.5,5.0,0.012042428571428572
1500.0,1,100,1.5,50.0,0.01276014
1500.0,3,100,1.5,50.0,0.01150247
500.0,1,1000,1.5,50.0,0.0098863
500.0,1,100,1.5,50.0,0.00870135
500.0,3,100,1.5,50.0,0.00924879
500.0,1,300,1.5,50.0,0.009758636363636363
500.0,1,500,1.5,50.0,0.00912025
500.0,1,700,1.5,50.0,0.009207285714285715
1500.0,1,100,1.5,500.0,0.00972543
1500.0,3,100,1.5,500.0,0.00993896
500.0,1,1000,1.5,500.0,0.0091124
500.0,1,100,1.5,500.0,0.01039963
500.0,3,100,1.5,500.0,0.00914676
500.0,1,300,1.5,500.0,0.00982421212121212
500.0,1,500,1.5,500.0,0.0093119
500.0,1,700,1.5,500.0,0.00993757142857143
1500.0,1,100,1.5,5000.0,0.00964175
1500.0,3,100,1.5,5000.0,0.0146471
500.0,1,1000,1.5,5000.0,0.0094998
500.0,1,100,1.5,5000.0,0.00918443
500.0,3,100,1.5,5000.0,0.0081013
500.0,1,300,1.5,5000.0,0.008989969696969698
500.0,1,500,1.5,5000.0,0.00940545
500.0,1,700,1.5,5000.0,0.010517642857142857
1500.0,1,100,1.5,50000.0,0.01149792
1500.0,3,100,1.5,50000.0,0.00989504
500.0,1,1000,1.5,50000.0,0.0091386
500.0,1,100,1.5,50000.0,0.00909942
500.0,3,100,1.5,50000.0,0.00853154
500.0,1,300,1.5,50000.0,0.009138181818181818
500.0,1,500,1.5,50000.0,0.00930855
