orientation,dist,n,peak_score
++,105000.0,896,1.0745948664499252
++,114750.0,836,1.0769546486665522
++,122425.0,558,1.083100887347202
++,129152.5,662,1.0822413420756483
++,137898.0,825,1.0769081051252662
++,149267.0,1097,1.081222788665235
++,164047.5,1451,1.0687803946054457
++,183262.0,1843,1.0910599592201529
++,208240.5,2455,1.0803575897551785
++,240713.0,3201,1.0777014084507661
++,282927.0,4126,1.0766120590585821
++,337805.5,5249,1.061350391218133
++,409147.5,6759,1.0530858970557888
++,501891.5,8697,1.0486895185376663
++,622459.0,11126,1.02910718993386
++,779197.0,14201,1.0236973284827342
++,982956.0,17997,1.015533392444347
++,1247843.0,22827,1.007111485234411
++,1592196.5,28856,1.0023916982747785
++,2039855.5,36338,0.9985542414557071
++,2621812.0,45477,0.9973351497748457
++,3378355.5,57658,0.9974096524490503
++,4361862.5,71278,0.9977612069522934
++,5640421.5,90610,0.9974041946521444
++,7302548.0,115855,0.9980260080801502
++,9463313.0,104775,0.9981590531515121
+-,105000.0,878,1.1818384485873246
+-,114750.0,829,1.2009778956028196
+-,122425.0,548,1.2113841633113345
+-,129152.5,654,1.2337584128589203
+-,137898.0,897,1.2132986599632607
+-,149267.0,1175,1.237680065898247
+-,164047.5,1536,1.2138608648470666
+-,183262.0,1925,1.2413879850492886
+-,208240.5,2495,1.222295872065865
+-,240713.0,3199,1.2124305024293454
+-,282927.0,4199,1.1918367550381321
+-,337805.5,5328,1.1837388565899198
+-,409147.5,6997,1.1667336814498683
+-,501891.5,8871,1.139126587476258
+-,622459.0,11093,1.1173367995276244
+-,779197.0,14272,1.0914453465190361
+-,982956.0,18372,1.0695547872755122
+-,1247843.0,23439,1.0476450038773122
+-,1592196.5,29599,1.0236022169172698
+-,2039855.5,37562,1.0122394860237758
+-,2621812.0,47217,1.0037460919533214
+-,3378355.5,59287,1.0012228214651075
+-,4361862.5,73555,0.9990544977024598
+-,5640421.5,92665,0.9980756602224354
+-,7302548.0,118064,0.9978112772488903
+-,9463313.0,108486,0.9979877847029162
-+,105000.0,985,0.9617874363353813
-+,114750.0,881,0.9611785820614893
-+,122425.0,593,0.9729242283477413
-+,129152.5,726,0.9969477280732733
-+,137898.0,962,0.9815762675680642
-+,149267.0,1303,0.9899861026427927
-+,164047.5,1614,0.9954837839078998
-+,183262.0,2062,0.9822176361995926
-+,208240.5,2681,0.9913747128256879
-+,240713.0,3492,0.9899283613213108
-+,282927.0,4563,0.989285866968539
-+,337805.5,5672,0.9880531588861436
-+,409147.5,7076,0.9846050717415109
-+,501891.5,9127,0.9837989604147608
-+,622459.0,11469,0.9813836995466045
-+,779197.0,14609,0.9837853146037173
-+,982956.0,18605,0.9846327133260682
-+,1247843.0,23375,0.9843882222553971
-+,1592196.5,29618,0.9905850029747789
-+,2039855.5,37323,0.991413384707555
-+,2621812.0,47492,0.9938849971978729
-+,3378355.5,59944,0.9955104333126635
-+,4361862.5,74041,0.9962135709623893
-+,5640421.5,94084,0.9967947386246145
-+,7302548.0,118418,0.9979449766041878
-+,9463313.0,107584,0.9984651655765866
--,105000.0,1000,1.0695211011853438
--,114750.0,872,1.0890966346907056
--,122425.0,536,1.0841369132500969
--,129152.5,731,1.0918516312865916
--,137898.0,933,1.0881820184646267
--,149267.0,1211,1.1006191381519075
--,164047.5,1621,1.0943213368843339
--,183262.0,2075,1.0936686540791318
--,208240.5,2658,1.0945573637226584
--,240713.0,3400,1.0799435512494626
--,282927.0,4371,1.0835707947646556
--,337805.5,5716,1.0703792342528264
--,409147.5,7101,1.0616019798653133
--,501891.5,9104,1.048172412422772
--,622459.0,11752,1.0343147379955189
--,779197.0,14728,1.0212584809354033
--,982956.0,18727,1.0122408630038735
--,1247843.0,23818,1.0062852312996369
--,1592196.5,30165,0.9985698813348391
--,2039855.5,38598,0.9993821119547555
--,2621812.0,49149,0.9979800383046751
--,3378355.5,61473,0.9973486559211664
--,4361862.5,75903,0.9974137590834176
--,5640421.5,95511,0.9966074760190673
--,7302548.0,121415,0.9975924910171439
--,9463313.0,111311,0.9977550817215117
