orientation,dist,n,peak_score
++,208240.5,670,1.8323503974050293
++,240713.0,875,1.761442584771238
++,282927.0,1267,1.766497821425497
++,337805.5,1296,1.801676930632882
++,409147.5,1460,1.9228979052671755
++,501891.5,1156,1.8408496354286672
++,622459.0,766,1.8771125735786027
++,779197.0,468,1.8949429224976027
++,982956.0,270,1.6976296608476078
++,1247843.0,70,1.8270271814173706
++,1592196.5,24,2.625843375756057
++,3378355.5,3,2.0819689605748777
+-,208240.5,928,1.8365172122642297
+-,240713.0,1170,1.8283561568190785
+-,282927.0,1642,1.8230596255566451
+-,337805.5,1630,1.8058536607073299
+-,409147.5,1686,1.840065573521944
+-,501891.5,1344,1.858154827420719
+-,622459.0,943,1.9942704976791352
+-,779197.0,624,1.884574202360419
+-,982956.0,302,1.9412015475040365
+-,1247843.0,120,2.0664505737790564
+-,1592196.5,37,2.5146605423096133
-+,208240.5,522,1.8734923111492563
-+,240713.0,805,1.7014040713706302
-+,282927.0,1187,1.5862950906433073
-+,337805.5,833,1.791522536160493
-+,409147.5,1069,1.8872536475098118
-+,501891.5,888,1.898410299421358
-+,622459.0,483,1.758767035700208
-+,779197.0,365,1.7345097657204873
-+,982956.0,230,1.5731845440959698
-+,1247843.0,44,1.8929783512211387
-+,1592196.5,14,2.692245249844289
-+,3378355.5,1,2.0819689605748777
--,208240.5,680,1.9105419224613835
--,240713.0,1011,1.7399853082275127
--,282927.0,1291,1.7125505331295428
--,337805.5,1109,1.8231781422430702
--,409147.5,1210,1.7651757834872357
--,501891.5,1055,1.8934242425799563
--,622459.0,679,1.9349725771442836
--,779197.0,542,1.7445120997608485
--,982956.0,251,1.8463476297088792
--,1247843.0,70,2.060837815106327
--,1592196.5,17,2.7642065096985817
